MINIGAME_01_00;Minijuego 1
MINIGAME_RETRY_MESSAGE;¿Quieres intentarlo de nuevo?
MINIGAME_RETRY_YES;Sí
MINIGAME_RETRY_NO;No
MINIGAME_RESULT_TITLE;Resultado
MINIGAME_RESULT_SCORE;Resultado:
MINIGAME_RESULT_HISCORE;Récord:
MINIGAME_RESULT_NEWRECORD;¡Has conseguido un nuevo récord!
MINIGAME_COMBO_X;x
MINIGAME_SB_PLACEMENT1;Coloca a Terra y su unidad Magitec.
MINIGAME_SB_PLACEMENT2;Coloca a Shelke.
MINIGAME_SB_PLACEMENT3;Coloca a Vivi.
MINIGAME_SB_PLACEMENT_MES;¿Te parece bien esta formación?
MINIGAME_SB_PLACEMENT_YES;Sí
MINIGAME_SB_PLACEMENT_NO;No
MINIGAME_SB_PLAYER_NAME1;Terra/unidad Magitec
MINIGAME_SB_PLAYER_NAME2;Shelke
MINIGAME_SB_PLAYER_NAME3;Vivi
MINIGAME_SB_SELECT_CHARA_MES;Elige qué personaje quieres controlar.
MINIGAME_SB_SELECT_ACT_MES;Elige una acción.
MINIGAME_SB_ACT_MOVE;Movimiento
MINIGAME_SB_ACT_ATTACK;Ataque
MINIGAME_SB_RETRY_MESSAGE;¿Quieres intentarlo de nuevo?
MINIGAME_SB_RETRY_YES;Sí
MINIGAME_SB_RETRY_NO;No
MINIGAME_SB_SELECT_MOVE_POS;Elige adónde quieres moverte.
MINIGAME_SB_SELECT_ATTACK_POS;Elige qué casilla quieres atacar.
MINIGAME_GUIDE_RETIRE;Salir
MINIGAME_RETIRE_MESSAGE;¿Quieres saltarte el minijuego?
