network_acceptance_00;Configurar formaciones
network_acceptance_01;Combate multijugador
network_acceptance_02;Combate local
network_acceptance_03;Intercambio
network_acceptance_04;Menú de combates multijugador
network_acceptance_05;Consultar reglas de combates multijugador
network_formation_00;Introduce tu nombre.
network_formation_01;Torre A1
network_formation_02;Torre A2
network_formation_03;Torre B1
network_formation_04;Torre B2
network_formation_05;Torre C1
network_formation_06;Torre C2
network_formation_07;Nombre del jugador
network_formation_08;Cambiar formación
network_formation_09;Cambiar torre
network_formation_10;Jugador
network_formation_11;Jugador 1
network_nosenose_00;La torre ha cambiado. ¿Quieres acceder al menú Habilidades?
network_ability_00;No puedes usar esta habilidad en combates multijugador.
network_internet_menu_00;Crear una sala multijugador.
network_internet_menu_01;Buscar una sala multijugador.
network_internet_menu_02;Enfrentarse rápidamente a un adversario desconocido.
network_internet_menu_03;Crear sala
network_internet_menu_04;Buscar sala
network_internet_menu_05;Combate rápido
network_internet_menu_06;Espera mientras se encuentra un rival. Pulsa <STR ICON> para cancelar la búsqueda.
network_buildroom_00;Personaliza la sala multijugador.
network_buildroom_01;Introduce un número para tu sala.
network_buildroom_02;Usa la configuración actual para crear una sala multijugador.
network_buildroom_03;Configuración de combate
network_buildroom_04;Victoria por KO
network_buildroom_05;Victoria por puntos
network_buildroom_06;Número de sala
network_buildroom_07;Sí
network_buildroom_08;No
network_buildroom_09;3221225472
network_searchroom_00;Elige a qué tipo de sala quieres unirte.
network_searchroom_01;Usar los filtros actuales para buscar una sala multijugador.
network_searchroom_02;Filtros de búsqueda
network_searchroom_03;Todos
network_searchroom_04;3221225472
network_selectroom_00;Aquí se muestran las salas que cumplan con los requisitos que has introducido.
network_selectroom_01;Buscar de nuevo
network_selectroom_02;Perfil
network_selectroom_03;La sala ya no está disponible.
network_selectroom_04;Nombre
network_selectroom_05;Usuario
network_battleroom_00;Información sobre la sala multijugador
network_battleroom_01;Victorias
network_battleroom_02;Porcentaje de victorias
network_battleroom_03;3221225472
network_battleroom_04;3221225472
network_battleroom_05;¡Listo!
network_battleroom_06;El invitado ha abandonado la sala.
network_battleroom_07;El anfitrión ha abandonado la sala.
network_battleroom_08;¿Seguro que quieres eliminar esta sala?
network_battleroom_09;¿Quieres abandonar esta sala?
network_battleroom_10;Los datos de tu mirage no son válidos.[~]Prueba con otro diferente.
network_battleroom_11;Parece que los datos de mirages de tu rival no son válidos.
network_exchange_menu_00;Crea una sala específica para realizar intercambios.
network_exchange_menu_01;Busca una sala específica para realizar intercambios.
