SUB_QUEST_TITLE_000_00;Un día en la vida de Serafie
SUB_QUEST_TITLE_001_00;Allá donde están los perdidos
SUB_QUEST_TITLE_002_00;Protegiendo a la princesa
SUB_QUEST_TITLE_002_00_2;¡Lann y Reynn al rescate!
SUB_QUEST_TITLE_003_00;El despertar de los protectores
SUB_QUEST_TITLE_004_00;El puente de hielo
SUB_QUEST_TITLE_005_00;De duelo en duelo
SUB_QUEST_TITLE_006_00;Crónicas de Nébula: parte 1
SUB_QUEST_TITLE_006_00_2;Crónicas de Nébula: parte 2
SUB_QUEST_TITLE_007_00;¡Isla del tesoro a la vista!
SUB_QUEST_TITLE_008_00;Los aliados de Fígaro
SUB_QUEST_TITLE_035_00;Conversaciones de besugos
SUB_QUEST_TITLE_036_00;Calor ifritante
SUB_QUEST_TITLE_009_00;El comienzo de una gran amistad
SUB_QUEST_TITLE_010_00;El chocobo negro
SUB_QUEST_TITLE_011_00;La compasión es para los débiles
SUB_QUEST_TITLE_012_00;Los cinco temibles daemonbots: Fígaro
SUB_QUEST_TITLE_013_00;Los cinco temibles daemonbots: Cornelia (1)
SUB_QUEST_TITLE_013_00_2;Los cinco temibles daemonbots: Cornelia (2)
SUB_QUEST_TITLE_014_00;Los cinco temibles daemonbots: Nibelheim
SUB_QUEST_TITLE_015_00;Los cinco temibles daemonbots: Villa Papiro (1)
SUB_QUEST_TITLE_015_00_2;Los cinco temibles daemonbots: Villa Papiro (2)
SUB_QUEST_TITLE_016_00;Los cinco temibles daemonbots: Puerto Besaid
SUB_QUEST_TITLE_017_00;El secreto del Santuario Hundido
SUB_QUEST_TITLE_017_00_2;El secreto del Santuario Hundido
SUB_QUEST_TITLE_018_00;El Ojo del Desierto
SUB_QUEST_TITLE_019_00;¡No somos títeres!
SUB_QUEST_TITLE_020_00;¡Odio los rayos!
SUB_QUEST_TITLE_021_00;El maestro de Chocolatte
SUB_QUEST_TITLE_022_00;Cásate conmigo, porfi
SUB_QUEST_TITLE_023_00;El mal siempre será malo
SUB_QUEST_TITLE_024_00;El destino del clan
SUB_QUEST_TITLE_037_00;Un enemigo al que preferirías no conocer
SUB_QUEST_TITLE_038_00;De herejes y castigos divinos
SUB_QUEST_TITLE_039_00;El triste sacrificio
SUB_QUEST_TITLE_025_00;Insuflando vidas
SUB_QUEST_TITLE_026_00;La verdadera identidad de la díada demoniaca
SUB_QUEST_TITLE_027_00;Envidia sana... ¿o no?
SUB_QUEST_TITLE_028_00;¿De dónde vienen los puentes?
SUB_QUEST_TITLE_029_00;Todo por una dama
SUB_QUEST_TITLE_030_00;Pecados del pasado
SUB_QUEST_TITLE_031_00;Vengando a los antepasados
SUB_QUEST_TITLE_032_00;Choque de espadas
SUB_QUEST_TITLE_033_00;Justicia gélida
SUB_QUEST_TITLE_034_00;Danza del fuego
SUB_QUEST_TITLE_040_00;Un futuro tras la guerra
SUB_QUEST_TITLE_041_00;¡Qué complicado es silbar!
SUB_QUEST_TITLE_042_00;Nos volvemos a ver...
SUB_QUEST_TITLE_043_00;Viejos enemigos, nuevos amigos
SUB_QUEST_TITLE_044_00;Explorando el Jardín
SUB_QUEST_TITLE_050_00;Operación Ópera
OTUKAI_QUEST_TITLE_00_00;Casco en regla
OTUKAI_QUEST_TITLE_01_00;Cazando duendes
OTUKAI_QUEST_TITLE_02_00;El deseo del niño (1)
OTUKAI_QUEST_TITLE_03_00;El deseo del niño (2)
OTUKAI_QUEST_TITLE_04_00;El deseo del niño (3)
OTUKAI_QUEST_TITLE_05_00;El deseo del niño (4)
OTUKAI_QUEST_TITLE_06_00;El deseo del niño (5)
OTUKAI_QUEST_TITLE_07_00;El deseo del niño (6)
OTUKAI_QUEST_TITLE_08_00;El deseo del niño (7)
OTUKAI_QUEST_TITLE_09_00;El deseo del niño (8)
OTUKAI_QUEST_TITLE_10_00;El deseo del niño (9)
OTUKAI_QUEST_TITLE_11_00;El deseo del niño (10)
OTUKAI_QUEST_TITLE_12_00;El deseo del niño (11)
OTUKAI_QUEST_TITLE_13_00;El deseo del niño (12)
OTUKAI_QUEST_TITLE_14_00;El deseo del niño (13)
OTUKAI_QUEST_TITLE_15_00;El deseo del niño (14)
OTUKAI_QUEST_TITLE_16_00;El deseo del niño (15)
OTUKAI_QUEST_TITLE_17_00;El deseo del niño (16)
OTUKAI_QUEST_TITLE_18_00;Vista cansada
OTUKAI_QUEST_TITLE_19_00;Una carrera espinosa
OTUKAI_QUEST_TITLE_20_00;Su flantástica majestad
OTUKAI_QUEST_TITLE_21_00;Un amor escamoso
OTUKAI_QUEST_TITLE_22_00;Oficio y beneficio (1)
OTUKAI_QUEST_TITLE_23_00;Oficio y beneficio (2)
OTUKAI_QUEST_TITLE_24_00;Oficio y beneficio (3)
OTUKAI_QUEST_TITLE_25_00;Oficio y beneficio (4)
OTUKAI_QUEST_TITLE_26_00;Oficio y beneficio (5)
OTUKAI_QUEST_TITLE_27_00;Asistente de investigación
OTUKAI_QUEST_TITLE_28_00;Cacería ardiente
OTUKAI_QUEST_TITLE_29_00;Un buen regalo de cumpleaños
OTUKAI_QUEST_TITLE_30_00;En busca de una musa
OTUKAI_QUEST_TITLE_31_00;Un té bien vale una pelea (1)
OTUKAI_QUEST_TITLE_32_00;Un té bien vale una pelea (2)
OTUKAI_QUEST_TITLE_33_00;Un té bien vale una pelea (3)
OTUKAI_QUEST_TITLE_34_00;Excusas vagas
OTUKAI_QUEST_TITLE_35_00;Abriendo camino
OTUKAI_QUEST_TITLE_36_00;Temporada de mirages
OTUKAI_QUEST_TITLE_37_00;El erudito y las piedras elementales
OTUKAI_QUEST_TITLE_38_00;Sed de sustos
OTUKAI_QUEST_RECEIVED_00_00;Has aceptado el encargo <QUOT>Casco en regla<QUOT>.
OTUKAI_QUEST_RECEIVED_01_00;Has aceptado el encargo <QUOT>Cazando duendes<QUOT>.
OTUKAI_QUEST_RECEIVED_02_00;Has aceptado el encargo <QUOT>El deseo del niño (1)<QUOT>.
OTUKAI_QUEST_RECEIVED_03_00;Has aceptado el encargo <QUOT>El deseo del niño (2)<QUOT>.
OTUKAI_QUEST_RECEIVED_04_00;Has aceptado el encargo <QUOT>El deseo del niño (3)<QUOT>.
OTUKAI_QUEST_RECEIVED_05_00;Has aceptado el encargo <QUOT>El deseo del niño (4)<QUOT>.
OTUKAI_QUEST_RECEIVED_06_00;Has aceptado el encargo <QUOT>El deseo del niño (5)<QUOT>.
OTUKAI_QUEST_RECEIVED_07_00;Has aceptado el encargo <QUOT>El deseo del niño (6)<QUOT>.
OTUKAI_QUEST_RECEIVED_08_00;Has aceptado el encargo <QUOT>El deseo del niño (7)<QUOT>.
OTUKAI_QUEST_RECEIVED_09_00;Has aceptado el encargo <QUOT>El deseo del niño (8)<QUOT>.
OTUKAI_QUEST_RECEIVED_10_00;Has aceptado el encargo <QUOT>El deseo del niño (9)<QUOT>.
OTUKAI_QUEST_RECEIVED_11_00;Has aceptado el encargo <QUOT>El deseo del niño (10)<QUOT>.
OTUKAI_QUEST_RECEIVED_12_00;Has aceptado el encargo <QUOT>El deseo del niño (11)<QUOT>.
OTUKAI_QUEST_RECEIVED_13_00;Has aceptado el encargo <QUOT>El deseo del niño (12)<QUOT>.
OTUKAI_QUEST_RECEIVED_14_00;Has aceptado el encargo <QUOT>El deseo del niño (13)<QUOT>.
OTUKAI_QUEST_RECEIVED_15_00;Has aceptado el encargo <QUOT>El deseo del niño (14)<QUOT>.
OTUKAI_QUEST_RECEIVED_16_00;Has aceptado el encargo <QUOT>El deseo del niño (15)<QUOT>.
OTUKAI_QUEST_RECEIVED_17_00;Has aceptado el encargo <QUOT>El deseo del niño (16)<QUOT>.
OTUKAI_QUEST_RECEIVED_18_00;Has aceptado el encargo <QUOT>Vista cansada<QUOT>.
OTUKAI_QUEST_RECEIVED_19_00;Has aceptado el encargo <QUOT>Una carrera espinosa<QUOT>.
OTUKAI_QUEST_RECEIVED_20_00;Has aceptado el encargo <QUOT>Su flantástica majestad<QUOT>.
OTUKAI_QUEST_RECEIVED_21_00;Has aceptado el encargo <QUOT>Un amor escamoso<QUOT>.
OTUKAI_QUEST_RECEIVED_22_00;Has aceptado el encargo <QUOT>Oficio y beneficio (1)<QUOT>.
OTUKAI_QUEST_RECEIVED_23_00;Has aceptado el encargo <QUOT>Oficio y beneficio (2)<QUOT>.
OTUKAI_QUEST_RECEIVED_24_00;Has aceptado el encargo <QUOT>Oficio y beneficio (3)<QUOT>.
OTUKAI_QUEST_RECEIVED_25_00;Has aceptado el encargo <QUOT>Oficio y beneficio (4)<QUOT>.
OTUKAI_QUEST_RECEIVED_26_00;Has aceptado el encargo <QUOT>Oficio y beneficio (5)<QUOT>.
OTUKAI_QUEST_RECEIVED_27_00;Has aceptado el encargo <QUOT>Asistente de investigación<QUOT>.
OTUKAI_QUEST_RECEIVED_28_00;Has aceptado el encargo <QUOT>Cacería ardiente<QUOT>.
OTUKAI_QUEST_RECEIVED_29_00;Has aceptado el encargo <QUOT>Un buen regalo de cumpleaños<QUOT>.
OTUKAI_QUEST_RECEIVED_30_00;Has aceptado el encargo <QUOT>En busca de una musa<QUOT>.
OTUKAI_QUEST_RECEIVED_31_00;Has aceptado el encargo <QUOT>Un té bien vale una pelea (1)<QUOT>.
OTUKAI_QUEST_RECEIVED_32_00;Has aceptado el encargo <QUOT>Un té bien vale una pelea (2)<QUOT>.
OTUKAI_QUEST_RECEIVED_33_00;Has aceptado el encargo <QUOT>Un té bien vale una pelea (3)<QUOT>.
OTUKAI_QUEST_RECEIVED_34_00;Has aceptado el encargo <QUOT>Excusas vagas<QUOT>.
OTUKAI_QUEST_RECEIVED_35_00;Has aceptado el encargo <QUOT>Abriendo camino<QUOT>.
OTUKAI_QUEST_RECEIVED_36_00;Has aceptado el encargo <QUOT>Temporada de mirages<QUOT>.
OTUKAI_QUEST_RECEIVED_37_00;Has aceptado el encargo <QUOT>El erudito y las piedras elementales<QUOT>.
OTUKAI_QUEST_RECEIVED_38_00;Has aceptado el encargo <QUOT>Sed de sustos<QUOT>.
OTUKAI_QUEST_CLEAR_00_00;Has completado el encargo <QUOT>Casco en regla<QUOT>.
OTUKAI_QUEST_CLEAR_01_00;Has completado el encargo <QUOT>Cazando duendes<QUOT>.
OTUKAI_QUEST_CLEAR_02_00;Has completado el encargo <QUOT>El deseo del niño (1)<QUOT>.
OTUKAI_QUEST_CLEAR_03_00;Has completado el encargo <QUOT>El deseo del niño (2)<QUOT>.
OTUKAI_QUEST_CLEAR_04_00;Has completado el encargo <QUOT>El deseo del niño (3)<QUOT>.
OTUKAI_QUEST_CLEAR_05_00;Has completado el encargo <QUOT>El deseo del niño (4)<QUOT>.
OTUKAI_QUEST_CLEAR_06_00;Has completado el encargo <QUOT>El deseo del niño (5)<QUOT>.
OTUKAI_QUEST_CLEAR_07_00;Has completado el encargo <QUOT>El deseo del niño (6)<QUOT>.
OTUKAI_QUEST_CLEAR_08_00;Has completado el encargo <QUOT>El deseo del niño (7)<QUOT>.
OTUKAI_QUEST_CLEAR_09_00;Has completado el encargo <QUOT>El deseo del niño (8)<QUOT>.
OTUKAI_QUEST_CLEAR_10_00;Has completado el encargo <QUOT>El deseo del niño (9)<QUOT>.
OTUKAI_QUEST_CLEAR_11_00;Has completado el encargo <QUOT>El deseo del niño (10)<QUOT>.
OTUKAI_QUEST_CLEAR_12_00;Has completado el encargo <QUOT>El deseo del niño (11)<QUOT>.
OTUKAI_QUEST_CLEAR_13_00;Has completado el encargo <QUOT>El deseo del niño (12)<QUOT>.
OTUKAI_QUEST_CLEAR_14_00;Has completado el encargo <QUOT>El deseo del niño (13)<QUOT>.
OTUKAI_QUEST_CLEAR_15_00;Has completado el encargo <QUOT>El deseo del niño (14)<QUOT>.
OTUKAI_QUEST_CLEAR_16_00;Has completado el encargo <QUOT>El deseo del niño (15)<QUOT>.
OTUKAI_QUEST_CLEAR_17_00;Has completado el encargo <QUOT>El deseo del niño (16)<QUOT>.
OTUKAI_QUEST_CLEAR_18_00;Has completado el encargo <QUOT>Vista cansada<QUOT>.
OTUKAI_QUEST_CLEAR_19_00;Has completado el encargo <QUOT>Una carrera espinosa<QUOT>.
OTUKAI_QUEST_CLEAR_20_00;Has completado el encargo <QUOT>Su flantástica majestad<QUOT>.
OTUKAI_QUEST_CLEAR_21_00;Has completado el encargo <QUOT>Un amor escamoso<QUOT>.
OTUKAI_QUEST_CLEAR_22_00;Has completado el encargo <QUOT>Oficio y beneficio (1)<QUOT>.
OTUKAI_QUEST_CLEAR_23_00;Has completado el encargo <QUOT>Oficio y beneficio (2)<QUOT>.
OTUKAI_QUEST_CLEAR_24_00;Has completado el encargo <QUOT>Oficio y beneficio (3)<QUOT>.
OTUKAI_QUEST_CLEAR_25_00;Has completado el encargo <QUOT>Oficio y beneficio (4)<QUOT>.
OTUKAI_QUEST_CLEAR_26_00;Has completado el encargo <QUOT>Oficio y beneficio (5)<QUOT>.
OTUKAI_QUEST_CLEAR_27_00;Has completado el encargo <QUOT>Asistente de investigación<QUOT>.
OTUKAI_QUEST_CLEAR_28_00;Has completado el encargo <QUOT>Cacería ardiente<QUOT>.
OTUKAI_QUEST_CLEAR_29_00;Has completado el encargo <QUOT>Un buen regalo de cumpleaños<QUOT>.
OTUKAI_QUEST_CLEAR_30_00;Has completado el encargo <QUOT>En busca de una musa<QUOT>.
OTUKAI_QUEST_CLEAR_31_00;Has completado el encargo <QUOT>Un té bien vale una pelea (1)<QUOT>.
OTUKAI_QUEST_CLEAR_32_00;Has completado el encargo <QUOT>Un té bien vale una pelea (2)<QUOT>.
OTUKAI_QUEST_CLEAR_33_00;Has completado el encargo <QUOT>Un té bien vale una pelea (3)<QUOT>.
OTUKAI_QUEST_CLEAR_34_00;Has completado el encargo <QUOT>Excusas vagas<QUOT>.
OTUKAI_QUEST_CLEAR_35_00;Has completado el encargo <QUOT>Abriendo camino<QUOT>.
