SPECIES_NAME_UNKNOWN;Desconocida
SPECIES_NAME_HUMAN;Humano
SPECIES_NAME_LEGEND;Protector
SPECIES_NAME_MONSTER00;Yurugu
SPECIES_NAME_MONSTER01;Ifrit
SPECIES_NAME_MONSTER02;Shiva
SPECIES_NAME_MONSTER03;Lamú
SPECIES_NAME_MONSTER04;Duende
SPECIES_NAME_MONSTER05;Chocobo
SPECIES_NAME_MONSTER06;Fenril
SPECIES_NAME_MONSTER07;Bégimo
SPECIES_NAME_MONSTER08;Pingüi
SPECIES_NAME_MONSTER09;Moguri
SPECIES_NAME_MONSTER10;Bismarck
SPECIES_NAME_MONSTER11;Especie: tomberi
SPECIES_NAME_MONSTER12;Especie: lich
SPECIES_NAME_MONSTER13;Especie: gigante de hierro
SPECIES_NAME_MONSTER14;Especie: rubí
SPECIES_NAME_MONSTER15;Especie: syldra
SPECIES_NAME_MONSTER16;Especie: adamantaimai
SPECIES_NAME_MONSTER17;Especie: minotauro
SPECIES_NAME_MONSTER18;Especie: rana
SPECIES_NAME_MONSTER19;Especie: vampiro
SPECIES_NAME_MONSTER20;Especie: mímico
SPECIES_NAME_MONSTER21;Especie: gusano de arena
SPECIES_NAME_MONSTER22;Especie: malilith
SPECIES_NAME_MONSTER23;Especie: garra de hierro
SPECIES_NAME_MONSTER24;Especie: bengal
SPECIES_NAME_MONSTER25;Especie: bom
SPECIES_NAME_MONSTER26;Especie: flan
SPECIES_NAME_MONSTER27;Especie: molbol
SPECIES_NAME_MONSTER28;Especie: esfinge
SPECIES_NAME_MONSTER29;Especie: odín
SPECIES_NAME_MONSTER30;Especie: cocatriz
SPECIES_NAME_MONSTER31;Especie: fénix
SPECIES_NAME_MONSTER32;Especie: bahamut
SPECIES_NAME_MONSTER33;Especie: arimán
SPECIES_NAME_MONSTER34;Especie: tiamat
SPECIES_NAME_MONSTER35;Especie: omega
SPECIES_NAME_MONSTER36;Especie: sirena
SPECIES_NAME_MONSTER37;Especie: diablo
SPECIES_NAME_MONSTER38;Especie: ultros
SPECIES_NAME_MONSTER39;Especie: dragón sagrado
SPECIES_NAME_MONSTER40;Especie: gólem
SPECIES_NAME_MONSTER41;Especie: Gilgamesh
SPECIES_NAME_MONSTER42;Especie: unidad Magitec
SPECIES_NAME_MONSTER43;Especie: Xenogear
SPECIES_NAME_MONSTER44;Especie: tren fantasma
SPECIES_NAME_MONSTER45;Especie: cactilio
SPECIES_NAME_MONSTER46;Especie: titán
SPECIES_NAME_MONSTER47;Especie: arma
SPECIES_NAME_MONSTER48;Especie: mago negro
SPECIES_NAME_MONSTER49;Especie: soldado de Bahamut
SPECIES_NAME_MONSTER19_obsolete;3221225472
SPECIES_NAME_MONSTER38_obsolete;3221225472
SPECIES_NAME_MONSTER46_obsolete;3221225472
SPECIES_NAME_MONSTER49_obsolete;3221225472
