sub01_010_0000;¿Qué es este lugar?
sub01_010_0001;¡Ah!
sub01_010_0002;¡Lann! ¿Estás bien?
sub01_010_0003;Eh... Sí... ¿Has visto eso?
sub01_010_0004;¿Qué hacéis aquí?
sub01_010_0005;¿Un tomberi?
sub01_010_0006;Sí, así es. Don Beri de la cabeza a los pies. Pero decidme, niños, ¿qué hacéis en un lugar tan recóndito?
sub01_010_0007;¿Recon-qué?
sub01_010_0008;Nos pregunta que si nos hemos perdido. Y no le falta razón... No sé dónde estamos.
sub01_010_0009;Lo que yo pensaba. Este sitio es muy peligroso. Venid.
sub01_010_0010;Os presento... ¡el Coliseo!
