sub02_010_0000;¿Qué es esa cosa?
sub02_010_0001;Parece una puerta, pero... ¿lleva a algún sitio?
sub02_010_0002;¡Holaaa! Vamos a echar un vistazo.
sub02_010_0003;Pero... ¡Oye!
sub02_010_0004;Eh... ¿Qué?
sub02_010_0005;¿Dónde estamos?
sub02_010_0006;¿Tengo visita? Qué sorpresa.
sub02_010_0007;Mmm. ¿Quién eres? Y ¿dónde estamos?
sub02_010_0008;Me llamo... ¿Eh? Lo tenía en la punta de la lengua. Hace tanto que no lo uso que no me acuerdo.
sub02_010_0009;Ah... Este es mi salón de té. ¿Quiénes sois vosotros? ¿Os apetece tomar un té conmigo?
sub02_010_0010;Pues... se podría decir que estamos solo de paso. Por cierto, soy Lann. Y esta es...
sub02_010_0011;Me llamo Reynn. Mi hermano y yo somos de Colina Nonarboleda...
sub02_010_0012;Lann y Reynn de Colina Nonarboleda...
sub02_010_0013;¡Claro! ¡Ya he soñado con esta situación! Os vi llegar aquí a los dos. Ha llegado el día.
sub02_010_0014;¿Eh?
sub02_010_0015;Vale... Creo que ya sé por qué estáis aquí. ¿Queréis empezar ya?
sub02_010_0016;¿Empezar qué?... ¿Cómo puedes saber lo que estamos haciendo aquí si no lo sabemos ni nosotros mismos?
sub02_010_0017;Sí, sois custodios en busca de mirages. Habéis venido a contactar con las almas de vuestros amigos... Pasados, presentes y futuros...
sub02_010_0018;para poder ayudarlos cuando estén en apuros y ocupar su lugar si algún mirage los amenaza...
sub02_010_0019;Para guiarlos hacia la victoria. ¿Cierto?
sub02_010_0020;Eh... Pues... No lo sé.
sub02_010_0021;¡Qué fuerte! Has dicho un montón de cosas. Reynn, ¿te has enterado?
sub02_010_0022;Qué va, ni idea.
sub02_010_0023;¿Y bien? ¿Con qué alma queréis conectar?
