sub02_050_0000;¡Hala! ¿Qué ha ocurrido?
sub02_050_0001;¡Anda! ¡Tenemos incluso el prisma!
sub02_050_0002;Cuando hacemos eso, ¿qué siente la otra persona?
sub02_050_0003;Incluso el tiempo se rinde ante el poder de la fantasía.
sub02_050_0004;Este es un lugar poderoso. Aquí convergen sueños, realidad y tiempo. Todo lo que fue, lo que es y lo que será.
sub02_050_0005;Desde aquí se puede cambiar la historia. No hay de qué preocuparse... Las almas a las que ayudéis no pueden veros.
sub02_050_0006;Y sin embargo, vuestras acciones afectan al resultado de sus combates.
sub02_050_0007;Así que cuando lucháis y vencéis por alguien..., esa alma es testigo de la misma victoria y la siente como propia.
sub02_050_0008;Todo esto es un poco difícil de entender... pero ¡es muy fuerte! Podemos ayudar a gente...
sub02_050_0009;¿y podemos quedarnos todos los prismas que encontremos? ¡Son todo ventajas!
sub02_050_0010;Eso parece.
sub02_050_0011;(Pero le veo un inconveniente... Con tanto poder, se puede ayudar pero también arruinar la vida de mucha gente, ¿no?)
sub02_050_0012;(Desde esta sala se pueden ver los destinos de muchos. ¿Quién es ella? ¿Es como Enna Kros? ¿Una deidad?...)
sub02_050_0013;No diría que soy una deidad como las que tienes en mente.
sub02_050_0014;¡¿Eh?!
sub02_050_0014_1;Aunque si hacéis un uso inapropiado de este poder, sufriréis las consecuencias.
sub02_050_0014_2;¿Consecuencias?
sub02_050_0015;El destino de él y el mío..., o el de ella, no estoy segura, están entrelazados. Ya que habéis llegado hasta este mundo,
sub02_050_0016;supongo que querría que compartiese un poco del poder de controlar tiempo y fantasía.
sub02_050_0017;Vale, nos portaremos bien, prometido.
sub02_050_0018;Está bien.
