sub06_015_0000;¡Graaah!
sub06_015_0001;¡Aaah!
sub06_015_0002;Je, je, je...
sub06_015_0003;Otra vez vosotros dos...
sub06_015_0004;Eh, chicos, ¿por qué no está Lamú con vosotros?
sub06_015_0005;¡Eh, no hace falta que pronuncies <QUOT>Lamú<QUOT> tan alto!
sub06_015_0006;¡En serio! ¡Ese anciano tiene el oído y la vista muy finos! ¡Nos vas a meter en un buen lío!
sub06_015_0007;¡Y tú tampoco digas <QUOT>Lamú<QUOT>! Uy...
sub06_015_0008;Os he oído.
sub06_015_0009;Decidme, ¿por qué os escapasteis? ¡¿En qué estabais pensando?!
sub06_015_0010;Ah, sí... Bueno... Es que estábamos muy aburridos.
sub06_015_0011;Solo estábamos entrenándonos un poco con Lann y Reynn.
sub06_015_0012;Ah, sí. Es verdad. Es que nos preocupamos mucho por ellos.
sub06_015_0013;¡Insensatos! Sabéis de sobra que nuestra presencia es imprescindible en la Caverna Nébula.
sub06_015_0014;No somos unos insensatos. Sé que se trata de la barrera trielemental.
sub06_015_0015;Venga, tan solo es una excursión de nada...
sub06_015_0016;¡Ingenuos! ¡Vuestra pequeña <QUOT>excursión<QUOT> ya ha provocado dos bajas!
sub06_015_0017;¿Qué? ¿Ha escapado alguien?
sub06_015_0018;¿Sabes quién ha logrado cruzar?
sub06_015_0019;Un ifrit y una shiva, pero del sexo opuesto al vuestro.
sub06_015_0020;Perfecto. ¿Por qué tenía que ser ella?
sub06_015_0021;¡¿Anda suelto?! ¿Por qué tiene que complicarse siempre todo?...
sub06_015_0022;Oye, cuando dices <QUOT>bajas<QUOT> no te refieres a gente, ¿verdad?
sub06_015_0023;Sí. Cuando nadie nos invoca, tenemos que entrar en este mundo a la vieja usanza.
sub06_015_0024;En realidad es muy sencillo. En lugar de un ritual de invocación, podemos usar la magia de un cuerpo humano como portal.
sub06_015_0025;Y lo que le ocurre a esa persona... digamos que no es agradable.
sub06_015_0026;¡¿Qué?!
sub06_015_0027;Los límites de la Caverna Nébula son muy débiles. Por eso, la antigua reina nos pidió que creásemos una barrera allí donde lindaba con el mundo.
sub06_015_0028;Y como estos dos han decidido holgazanear...
sub06_015_0029;ahora hay gente herida.
sub06_015_0030;Mmm...
sub06_015_0031;Vale, cometimos un grave error.
sub06_015_0032;¡Un error inconmensurable, mentecatos!
sub06_015_0033;Uf... Así que ahora hay un ifrit y una shiva sembrando el caos por todo Grymoire, ¿no?
sub06_015_0034;Si sabían lo <QUOT>responsables<QUOT> que son Ifrit y Shiva, seguramente estuvieran esperando al momento propicio para colarse por la barrera.
sub06_015_0035;Bueno, solo son mirages. Reynn y yo podemos controlarlos. ¡Los encontraremos y les daremos una buena lección!
sub06_015_0036;Eso mismo. Vosotros tres volved a Caverna Nébula y reparad esa barrera.
sub06_015_0037;Entonces dejaremos imágenes de nosotros en este lugar, así podréis seguir entrenándoos con nosotros como antes.
sub06_015_0038;A menos que tengáis alguna objeción.
sub06_015_0039;Eh... ¡Eso! Es justo lo que yo iba a decir.
sub06_015_0040;Vaaale. ¡Hasta luego, Lann y Reynn!
sub06_015_0041;Diantres. Vaya par.
sub06_015_0042;Un ifrit hembra y una shiva macho, ¿verdad?
sub06_015_0043;Mira qué bien, un par de mirages más para nuestra colección.
