sub07_020_0000;Uf... Menudo susto.
sub07_020_0001;Buscar tesoros es emocionante.
sub07_020_0002;Ja, ja, ja. Bueno, a veces sí.
sub07_020_0003;Y a pesar del peligro, ¿quieres seguir?
sub07_020_0004;¡Por supuesto! ¡Lo llevo en la sangre! Mi vida es la búsqueda de tesoros.
sub07_020_0005;¡Mis tesoooros! ¡Los quiero todos!
sub07_020_0006;Je... Ya veo. Entonces te deseo una búsqueda fructífera.
sub07_020_0007;¡Gracias, Adamanti! ¡Hasta pronto!
sub07_020_0008;Búsqueda de tesoros... Parece que le resulta muy ameno.
sub07_020_0009;¿Quizá nos estemos perdiendo algo?... Puede que mi estirpe y yo debamos empezar nuestra propia aventura.
sub07_020_0010;¿Y si le pido ayuda a esa pareja de custodios que me encontré?...
