sub09_020_0000;¿Listos?
sub09_020_0001;¡Sí, estoy listo!
sub09_020_0002;¡Allá vamos, kupó!
sub09_020_0003;¡Por allí!
sub09_020_0004;Mmm, no veo ni mis espinas.
sub09_020_0005;¡Vamos a perdernos, kupó!
sub09_020_0006;Siguiente.
sub09_020_0007;¡Todo el mundo a bordo!
sub09_020_0008;¡Podría pasarme el día así, kupó!
sub09_020_0009;¿Qué tal, amigos? ¿Cómo lo llevamos?
sub09_020_0010;¡Arg! ¡No puedo mover los brazos!... Ah, como siempre.
sub09_020_0011;Estoy... ¡a tope, kupó!
sub09_030_0000;Decidme: ¿no os da la impresión de que estos mirages huyen de algo?
sub09_030_0001;Quizá tengan alguna razón para comportarse así, kupó.
sub09_030_0002;Mmm, tiene razón. Tengo la ligera impresión de que somos nosotros quienes se interponen en su ruta de huida.
