sub12_020_0000;¡Allá vamos!
sub12_020_0001;¡Al ataque!
sub12_020_0002;¡Iniciando maniobra!
sub12_020_0003;¡Ah!
sub12_020_0004;¡Aaah!
sub12_020_0005;Lo siento...
sub12_020_0006;¡Está cerca!
sub12_020_0007;¡Un golpe directo!
sub12_020_0008;¡Uh!... Lo logramos.
sub12_020_0009;No... No puede ser...
sub12_020_0010;¡Acabemos de una vez!
sub12_020_0011;¿Dónde busco?
sub12_020_0012;¡Ahí!
sub12_020_0013;Reposicionando.
sub12_020_0014;¡Ah!
sub12_020_0015;¡Uuug!
sub12_020_0016;Debo... retirarme...
sub12_020_0017;Ha faltado poco.
sub12_020_0018;Le he dado.
sub12_020_0019;Parece que hemos salido victoriosos.
sub12_020_0020;Es el fin...
sub12_020_0021;Veamos...
sub12_020_0022;¡Piro!
sub12_020_0023;¡Hielo!
sub12_020_0024;¡Electro!
sub12_020_0025;Con cuidado.
sub12_020_0026;¡Ah!
sub12_020_0027;¡Aaah!
sub12_020_0028;Au... Me han dado.
sub12_020_0029;¡Casi!
sub12_020_0030;¡Le he dado!
sub12_020_0031;Bien, ¡hemos ganado!
sub12_020_0032;¿Qué?... ¿Hemos perdido?
sub12_020_0033;3221225472
sub12_020_0034;3221225472
sub12_020_0035;3221225472
sub12_020_0036;3221225472
sub12_020_0037;3221225472
sub12_020_0038;3221225472
sub12_020_0039;3221225472
sub12_020_0040;3221225472
sub12_020_0041;3221225472
sub12_020_0042;3221225472
sub12_020_0043;A ver...
sub12_020_0044;Vamos allá.
sub12_020_0045;Venga, vamos.
sub12_020_0046;...
sub12_020_0047;¡Aaarg!
sub12_020_0048;¡Lo siento!
sub12_020_0049;¡Por poco!
sub12_020_0050;¡Toma!
sub12_020_0051;¡Victoria! Aunque no me sorprende.
sub12_020_0052;¡¿Qué?! Bueno, que disfruten este breve momento de gloria.
