sub12_035_0000;Te pillé.
sub12_035_0001;¡¿Qué?!
sub12_035_0002;¡Aaah!
sub12_035_0003;¡¿...?!
sub12_035_0004;Por favor... ¡Ayuda!
sub12_035_0005;¡Maduin!
sub12_035_0006;¿Eh? Yo te conozco.
sub12_035_0007;Al fin eres libre. Echaba mucho de menos oírte llamarme por mi nombre.
sub12_035_0008;Tú fuiste mi primera invocación... ¡Maduin!
sub12_035_0009;Je...
sub12_035_0010;Dime... ¿Cómo he podido olvidarte? Yo no...
sub12_035_0011;Esa máquina bloqueaba tu mente.
sub12_035_0012;Pero... eso es agua pasada. Ahora ya me recuerdas y siempre estaré a tu lado.
sub12_035_0013;Gracias...
sub12_035_0014;Padre...
sub12_035_0015;¡Eeeh! ¿Estás bieeen?
