sub14_010_0000;Uf, uf, uf...
sub14_010_0001;¿Cuántos llevo?
sub14_010_0002;Uf...
sub14_010_0003;Ni idea. Dejé de contar después de 20.
sub14_010_0004;Por fin... lo estamos debilitando.
sub14_010_0005;Más vale que pensemos eso.
sub14_010_0006;Tal y como pensaba.
sub14_010_0007;He observado sus dinámicas de comportamiento... y parece que se desplaza siempre en los valles de fuego.
sub14_010_0008;Entonces tienes razón. Debe de sentirse atraído por el calor.
sub14_010_0009;Mmm... Mejor. Eso significa que no se acercará a Nibelheim.
sub14_010_0010;Pero el fuego puede desaparecer de repente, como en el Valle Séptimo.
sub14_010_0011;Y si eso ocurre y esa cosa se encuentra cerca de Nibelheim, el pueblo podría ser su próximo objetivo.
sub14_010_0012;Si está vivo, podemos matarlo. Vamos a atacar todas las veces que haga falta hasta que caiga.
sub14_010_0013;Vale. ¡Será un buen entrenamiento!
sub14_010_0014;Os ayudaré en todo lo que pueda.
sub14_010_0015;Vale. ¡Vamos!
