sub14_015_0000;¡¿Qué es esa cosa?!
sub14_015_0001;No sé, pero todos los datitos, desde la VIT hasta... ¡Todo se sale del gráfico!
sub14_015_0002;Sus características se salen de los niveles normales. Parece extremadamente peligroso.
sub14_015_0003;¿Crees que podremos vencerlo?...
sub14_015_0004;Por suerte, parece que no tiene grandes habilidades curativas...
sub14_015_0005;Afortunadamente, tarda mucho tiempo en recuperarse.
sub14_015_0006;Aunque no deberíamos esperar vencerlo a la primera...
sub14_015_0007;Eh... ¿Qué quieres decir?
sub14_015_0008;¡Quiere decir que tendremos que luchar contra él varias veces!
sub14_015_0009;¡¿En serio?! Qué fuerte... Venga, vale...
sub14_015_0010;El combate no ha terminado.
