sub15_035_0000;¿Es eso un...?
sub15_035_0001;Sí, parece un fantas...
sub15_035_0002;¡No te oiiigooo!...
sub15_035_0003;¡Podrías haberte tapado los oídos!
sub15_035_0004;Oye, ¿qué es esa máquina que ha dejado caer?
sub15_035_0005;Este tren seguramente esté relacionadito con los daemonbots.
sub15_035_0006;¿Un daemonbot? ¡Mejor entonces!
sub15_035_0007;¿Cómo que <QUOT>mejor entonces<QUOT>?
sub15_035_0008;Eso mismito me pregunto yo.
sub15_035_0009;¿Acaso me ponéis ambos en tela de juicio? Pues me voy.
sub15_035_0010;¿Y adónde se supone que vas a ir? Eh, ¡espera, hermana! ¡Oye!
sub15_035_0011;Estoy de broma.
sub15_035_0012;Por un momento pensé que ibas en serio.
sub15_035_0013;Seguro que estuvo a puntito.
