sub17_030_0000;Vaya, ha sido fácil.
sub17_030_0001;¡Piii!
sub17_030_0002;¿Pip?
sub17_030_0003;Lann, Reynn, ¡alejaos de esa cosa!
sub17_030_0004;¡Aaah!
sub17_030_0005;¿Pero qué...?
sub17_030_0006;¿Qué ocurre?
sub17_030_0007;La última reina me advirtió sobre esto, pero pensé que no era cierto.
sub17_030_0008;Si ese monstruo muere desencadenará una pingüenorme explosión que arrasará todo a su alrededor.
sub17_030_0009;¿Y se te ocurre decírnoslo ahora?
sub17_030_0010;Cuando dices <QUOT>pingüenorme<QUOT>, ¿cuánto exactamente?
sub17_030_0011;La última vez que ocurrió, la explosión de ese monstruo partió el continente en dos, dicen.
sub17_030_0012;¡¿Qué me estás contando?!
sub17_030_0013;Jamás lograremos escapar de una explosión tan grandecita.
sub17_030_0014;¡Silencio!
sub17_030_0015;¿Eh?
sub17_030_0016;¿Eh?
sub17_030_0017;¿Eh?
sub17_030_0018;¿Eh?
sub17_030_0019;¿Estáis listos? A cualquiera dejaría impresionado, este hechizo que he inventado.
sub17_030_0020;¡Contemplad a una genio en acción!
sub17_030_0021;¡Y admirad esta invención!
sub17_030_0022;¡Aaah!
sub17_030_0023;¡Aaah!
sub17_030_0024;¡Piii!
sub17_030_0025;¡Nooo!
sub17_030_0026;¿Pipí?
sub17_030_0027;¿Pipipí?
sub17_030_0028;¿Eh?
sub17_030_0029;¿Eh?
sub17_030_0030;¿Pi?
sub17_030_0031;¿Oh?
sub17_030_0032;¿Pirripí?
sub17_030_0033;Mi hechizo funciona a la perfección: Antimagia supremo. Anula hechizos o cualquier acción. ¡Jo, jo, jo!
sub17_030_0034;¿Qué acaba de suceder?
sub17_030_0035;Tendría que haber imaginado que os costaría entender lo que ha pasado.
sub17_030_0036;Cuando me percaté de que ese tentaculitos estaba a punto de pasar a mejor vida, creé un hechizo para así detener la explosión contenida.
sub17_030_0037;Tenía que lanzar mi hechizo antes de que el monstruo soltase su último aliento. Mi Antimagia supremo anuló el estallido violento.
sub17_030_0038;Entonces, ¿tu nuevo hechizo no estaba ideado para provocar explosiones?
sub17_030_0039;No suelo perder el tiempo con magia inventada. ¡Qué tontada!
sub17_030_0040;Tiene su lógica.
sub17_030_0041;Además, no quería mudarme de continente. Gracias a vosotros, servidores tontainas, podré permanecer en Besaid indefinidamente.
sub17_030_0042;¡Jo, jo, jo!
sub17_030_0043;Agota toda mi paciencia...
sub17_030_0044;Y la mía.
sub17_030_0045;Eh... Que alguien me explique qué ha pingüinado aquí.
sub17_030_0046;Podríamos decir que todo ha salido bien.
sub17_030_0047;¿Pinpí?
sub17_030_0048;Ese monstruo iba a explotar, abriéramos la puerta o no.
sub17_030_0049;Es cierto. Es un poco bruta y severa, pero la doctora Shantotto nos ha salvado a todos.
sub17_030_0050;Y eso son buenas noticias. Por ahora, el Santuario Hundido está a salvo.
sub17_030_0051;Jamás se me habría pasado por la pingüibeza que las personas pudieran ser tan benévolas.
sub17_030_0052;Bueno, tampoco diría yo <QUOT>benévolas<QUOT>...
sub17_030_0053;Si no llegamos a intervenir, creo que tenía en mente borrarte del mapa.
sub17_030_0054;Vaya... Reynn y Lann, los pingüis os debemos la vida.
sub17_030_0055;¿Lann?
sub17_030_0056;Decidme.
sub17_030_0057;Piii. De nuevo esta sensación tan extraña...
sub17_030_0058;¡Piripíii!
sub17_030_0059;¡Pipíii!
