sub21_020_0000;Kuéee, kuéee... ¡Kuéee!
sub21_020_0001;¡Kukukuéee!
sub21_020_0002;Boko, ¿qué tal, amigo? Te eché de menos. Ja, ja, ya está, ya está. Me alegro de verte.
sub21_020_0003;Arg, no puedo creer que pretendiera dominar el mundo con chocobos mecanizados.
sub21_020_0004;Vaya pesadilla. Ese robochocobo se las traía.
sub21_020_0005;Y que lo digas. Supongo que Hiperión también fue modificado por esa panda de malhechores.
sub21_020_0006;No puedo ni imaginármelo...
sub21_020_0007;¡Aaah! Sí me lo he imaginado.
sub21_020_0008;Por cierto, el chocobito que tienes en la cabeza era el que estaba hablando, ¿no? ¿Cómo puede hacer algo así?
sub21_020_0009;Bueno... Es que... Uy, ¿sabés qué? Tengo que regresar volando a la tienda.
sub21_020_0010;¡Es un descubrimiento enorme! Puede que acabe de dar con el único chocobo que habla nuestro idioma...
sub21_020_0011;¡Eh, se ha ido! ¡Espera, Chocolatte!
sub21_020_0012;Kuéee.
sub21_020_0013;Je, je, je. Choco-boco-correee. Je, je.
