sub22_010_0002;¿Qué sucede?
sub22_010_0003;Capitán, tenemos malas noticias. La princesa duende ha raptado a su majestad.
sub22_010_0004;¿Qué? ¿La princesa duende? Esto no pinta nada bien...
sub22_010_0005;Princesa, ¿estáis bien?
sub22_010_0006;¡Guerrero de la Luz! Sabía que vendrías.
sub22_010_0007;¡Oooh, Guerrero de la Luz! Te he echado taaanto de menos. ¿Has reconsiderado mi propuesta de matrimonio?
sub22_010_0008;¿Qué? ¿Su prometida?
sub22_010_0008_2;Eso mismo.
sub22_010_0009;Princesa duende, juraría que ya os respondí que no.
sub22_010_0009_2;¡Bie...! ¿Quéee?
sub22_010_0010;Además, mi corazón late por su majes.. ¡por toda Cornelia!
sub22_010_0010_2;¡Bah!
sub22_010_0011;Boh, pamplinas. Si te conviertes en mi maridín, mis duendes se encargarán de proteger todo lo que quieras.
sub22_010_0012;Puesto que derrotaste a mi duende gigante con facilidad, te cedo el honor de liderar mi ejército de duendes.
sub22_010_0013;Yo... Esto... Juré lealtad a...
sub22_010_0014;Bah, mucho te preocupas tú por esta tapón, ¿no? ¡Con lo guapetona que soy yo, paaarfavor! En tal caso, la mantendré prisionera durante el resto de su vida, mira tú por dónde.
sub22_010_0015;Así podrás mantener la paz del reino, ¿me equivoco?
sub22_010_0016;No, por favor.
sub22_010_0017;¡Basta! Te has pasado de la raya.
