sub23_010_0000;Aún te queda un largo camino por recorrer. ¿Por qué no te quedas a descansar en aquel refugio?
sub23_010_0001;No, gra-gracias. Estoy bien por ahora. Además, quiero cruzar el valle antes de que caiga la noche.
sub23_010_0002;Bah, ¿sabes qué?...
sub23_010_0003;¿Qué...? Mi fuerza...
sub23_010_0004;Vaya, se me ha ido la mano y lo he convertido en un zombi. Bueno, el color verde está de moda, así que a lo mejor le he hecho un favor.
sub23_010_0005;Ey, ¿has conseguido traer algún cliente?
sub23_010_0006;Ah, ¡hola, jefa! Mira tú por dónde, estaba a punto de llevar a este cliente al refugio.
sub23_010_0007;¿Qué le ocurre? Está tan pálido que parece que lo acaban de desenterrar.
sub23_010_0008;¿En serio? Eso es que debe de tener mucha hambre. Será mejor que le lleves al refugio cuanto antes.
sub23_010_0009;Sí, buena idea. Refia, llévalo al interior y prepárale algo de comer. La princesa zombi y yo vamos a seguir una pista.
sub23_010_0010;Vale. Tened mucho cuidado las dos, ¿eh?
sub23_010_0011;¿Cuál se supone que es esa pista que vamos a seguir?
sub23_010_0012;He oído rumores acerca de mirages muy peligrosos que acechan en estas tierras.
sub23_010_0013;Dicen que ponen de los nervios a cualquiera, más o menos como tú solías ser, así que tengo que eliminarlos cuanto antes. Y tú vendrás conmigo también.
sub23_010_0014;Vaya, gracias por decirme lo que piensas de mí. Y yo que creía que te caía bien...
sub23_010_0015;Date prisa, putrefacta.
sub23_010_0016;Oye, espérameee.
sub23_010_0017;¿Es este el lugar? La tierra aquí está muy húmeda y huele bien, un lugar ideal para acumular el mal.
sub23_010_0018;¿En serio? No tenía ni idea de que este lugar pudiera ser como una tierra de ensueño para mirages como tú.
sub23_010_0019;¿Quién... osa adentrarse... en nuestro territorio? ¡Esta tierra... es nuestra! ¡Esfumaos!
