sub24_020_0000;Es increíble lo poderoso que es. Aunque es extraño, me resulta familiar.
sub24_020_0001;¿Te puedo preguntar por qué nos has hecho venir hasta aquí?
sub24_020_0002;¿Eh? ¿Qué pasa?
sub24_020_0003;(Eiko, estamos orgullosos de ti. A pesar de ser tan solo una niña, has llevado con honor la responsabilidad de nuestro clan. Gracias.)
sub24_020_0004;¿Es el mirage el que está hablando? Reconozco esa voz...
sub24_020_0005;(Eiko, nos encontramos en una época oscura y Grymoire se enfrenta a una catástrofe.)
sub24_020_0006;(El mundo necesitará dentro de poco el poder de nuestro clan... y de los mirages que controlamos.)
sub24_020_0007;¿Los mirages que controlamos? ¿Qué quieres decir? ¿Existen otros además de Fenril?
sub24_020_0008;(Estás vinculada a muchos mirages. Has de buscarlos y fusionar vuestros poderes para hacer uso de ellos. El futuro está en tus manos... y ojalá sea radiante.)
sub24_020_0009;¡Eh, espera!
sub24_020_0010;(No estás sola, Eiko. El clan siempre te protegerá.)
sub24_020_0011;¡Aaauuu!
sub24_020_0012;Fenril...
sub24_020_0013;¿Sabes quién era? Supongo que el mirage de uno de mis ancestros...
sub24_020_0014;Ahora que caigo, mi abuelo me reveló que a partir de mi decimosexto cumpleaños podría invocar diferentes tipos de mirages.
sub24_020_0015;Ahora mismo he de centrarme en lo que puedo conseguir en el presente. Al fin y al cabo, ¡aún soy una niña y me queda mucho que aprender!
sub24_020_0016;Fenril, ¿permanecerás siempre a mi lado?
sub24_020_0017;¡Groar!
sub24_020_0018;Grymoire está en peligro...
sub24_020_0019;Si el poder de mi clan, mi poder de invocadora, os resulta de utilidad, ¡lo compartiré con vosotros, Reynn y Lann!
