sub25_080_0000;¡Ya te tengo!
sub25_080_0001;¿Qué ha sucedido? Este sentimiento... El odio que albergaba se ha convertido en algo aún peor.
sub25_080_0002;Así es como se sentiría el tío Takka.
sub25_080_0003;Él jamás dañaría a nadie, ni a una mosca. Nunca intentó vengarse de la muerte de mi tía.
sub25_080_0004;Por mucho que odies a alguien, atacar sin ton ni son guiado por la rabia termina dejándote vacío, decía mi tío.
sub25_080_0005;¿Vacío? Así que esto es lo que se siente al ser humano...
sub25_080_0006;¡Cuidado! Si se asemeja a Tama, seguramente tenga también nueve vidas.
sub25_080_0007;¿Y cuántas le quedan?
sub25_080_0008;Ya me parecía raro que no muriera por muchas veces que lo derrotara.
sub25_080_0009;¿Eh?
sub25_080_0010;¡Que así sea!
sub25_080_0011;Uuuf...
sub25_080_0012;Hala, ¿has visto eso?
sub25_080_0013;Lann, esas luces seguramente contengan las vidas del zorro negro.
sub25_080_0014;¿En serio?
sub25_080_0015;Parece que este cuerpo... y su alma... han de desaparecer...
sub25_080_0016;Tan solo lo dejaste con dos vidas. Tu combate contra el zorro ha tenido que ser largo y extenuante.
sub25_080_0017;¿Y de qué ha servido tal esfuerzo y denuedo? Para nada.
sub25_080_0018;...
sub25_080_0019;Y ahora... ha llegado la hora de abandonar este mundo.
sub25_080_0020;Querría pediros un favor: enterrad a este ser... al lado de su querida mujer.
sub25_080_0021;...
sub25_080_0022;Claro... Me encargaré de ello.
sub25_080_0023;Tío...
sub25_080_0024;¿Ya se ha ido Refia?
sub25_080_0025;Sí. Se celebrará un funeral oficial en Saronia.
sub25_080_0026;Ajá.
sub25_080_0027;Bueno, Refia es una chica fuerte. Se recuperará.
sub25_080_0028;Bueno, será mejor que vaya allí y haga algo útil.
sub25_080_0029;¿Vas como gato?
sub25_080_0030;Ya te dije que como gato es más fácil...
sub25_080_0031;¿Llegar a los sitios?
sub25_080_0032;¡Justo!
sub25_080_0033;Bueno, ¿quién quiere regresar a Colina Nonarboleda para llevarle a Tama las vidas de ese nuevecolas?
sub25_080_0034;¡Cuenta conmigo!
