sub26_010_0000;¿Ha pasado... tanto tiempo?
sub26_010_0001;Nadie sabe cuánto tiempo ha pasado en realidad.
sub26_010_0002;Los cálculos indican, sin embargo, que los kolosos desaparecieron hace ya unos cien años.
sub26_010_0003;Una centuria... Me cuesta imaginarme algo así.
sub26_010_0004;¿Qué tal si vamos al barco volador y...?
sub26_010_0005;¡Groaaar!
sub26_010_0006;¿Qué ha sido eso?
sub26_010_0007;¡Groooaaar!
sub26_010_0008;¡...!
sub26_010_0009;¿Acaso quieres algo, Bahamut? ¿O prefieres que te llame Tiababil?
sub26_010_0010;¿Por qué pronuncias mi verdadero nombre enfrente de extraños? ¡¿Es que te has vuelto loca?!
sub26_010_0011;¿Qué ocurre?
sub26_010_0012;¿Se supone que ha sido una centuria? Hace mucho tiempo de ello, pero conozco a Bahamut.
sub26_010_0013;¿Conoces a este sirviente de la díada?
sub26_010_0014;¿Sirviente? ¿Yo?
sub26_010_0015;Ja, ja, perdón. Quería decir que servías a Lann y Reynn.
sub26_010_0016;Ah, claro. Como para no recordar a los gemelos...
sub26_010_0017;¿Qué? ¿Lann y Reynn son la díada demoniaca?
sub26_010_0018;Los heraldos, seguramente Segwarides, inventaron ese nombre para hacer más llamativa la profecía carmesí.
sub26_010_0019;Sin embargo, contiene parte de realidad. La profecía celeste original también menciona demonios. ¿Lann y Reynn lo sabían? ¿La han leído?
sub26_010_0020;Reynn siempre fue una ávida lectora.
sub26_010_0021;Sí... Aunque recrear profecías para divertirse suena a algo que haría Lann.
sub26_010_0022;Vaya, todas las leyendas de mi infancia están empezando a tomar forma.
sub26_010_0023;Hay algo de lo que estoy segura: nadie les llamaría <QUOT>díada demoniaca<QUOT> o algo parecido,
sub26_010_0024;a no ser que tú y los tuyos hubierais sembrado el caos en su ausencia.
sub26_010_0025;¡Eh! Si quieres culpar a alguien, culpa a los heraldos.
sub26_010_0026;Aunque yo haya permanecido sellado mucho tiempo, ¿cómo osa Brandelis llamar Bahamut a su ejército?
sub26_010_0027;¿Y se erige como soberano de este mundo? ¡Le voy a dar una buena lección! Decidme dónde está ahora mismo.
sub26_010_0028;¿Por eso has venido? Hazme caso: he observado de cerca a Brandelis durante una centuria y...
sub26_010_0029;Tiababil, reconoce que no tienes la más mínima posibilidad de vencer.
sub26_010_0030;¿Qué has dicho?
sub26_010_0031;Supongo que has oído hablar de los caballeros Exnueve.
sub26_010_0032;Cada uno de ellos está formado por un esper como yo, un humano y una deidad del extraverso, ¿no es así?
sub26_010_0033;¿Deidades del extraverso? ¿Esper? ¿Qué son?
sub26_010_0034;En la profecía celeste se mencionan ambos. En rigor dice...
sub26_010_0035;<QUOT>De la nada nacieron la luz y la oscuridad. De la luz surgieron los espers, pero la oscuridad dio lugar a monstruos y a humanos que buscaban la luz.
sub26_010_0036;En el extraverso, el mundo que rodea al nuestro, viven deidades que se alimentan de muerte y destrucción. Existen y no existen al mismo tiempo, y no atienden a razones.
sub26_010_0037;Un mundo encontró una fisura en esa realidad y la aprovechó para sellar los espers dentro de cuerpos humanos. Sin embargo, ese mundo quedó expuesto a través de la fisura al extraverso... y a sus crueles deidades.<QUOT>
sub26_010_0038;Entonces, ¿los heraldos son deidades de un mundo exterior?
sub26_010_0039;No puedo garantizarlo, me temo...
sub26_010_0040;La profecía son un puñado de palabras, así que hemos de darles significado y adivinar a qué nos enfrentamos.
sub26_010_0041;Los primeros versos son tan ambiguos que se obviaron en versiones posteriores. Solo los descendientes directos lo saben.
sub26_010_0042;¿Quiere eso decir que tú...?
sub26_010_0043;Así es. Soy descendiente de la primera invocadora, y quizá la última de las kolosas invocadoras, supongo.
sub26_010_0044;De todas formas, parece que hoy en día algunas habéis aprendido el arte de la invocación. Lo mantendréis con vida.
sub26_010_0045;¡Basta ya! ¿Quieres decir que Brandelis se ha convertido en un caballero Exnueve?
sub26_010_0046;Así es. Un ser que, como en la profecía, ha atravesado las dimensiones. Si lo piensas, es algo así como una deidad.
sub26_010_0047;No se parece en absoluto al Brandelis que conociste. En tu estado actual no podrías vencerlo, ni siquiera rozarlo.
sub26_010_0048;¡Groaaar!
sub26_010_0049;¡Me niego a aceptar algo así! Eso es imposible.
sub26_010_0050;No importa en qué se haya convertido Brandelis, ¡no lo compares conmigo! El verdadero rey, el rey de Bahamut, soy yo. ¡El gran Tiababil!
sub26_010_0051;Tu temperamento no ha cambiado, por lo que veo.
sub26_010_0052;3221225472
sub26_010_0053;¡Kiaaa!
sub26_010_0054;¿Por qué estamos luchando?
