sub31_010_0000;¡Capitana, capitana, capitana Faris!
sub31_010_0001;¿Qué pasa, Mog?
sub31_010_0002;¡Dicen que la han avistado en el Inframar, kupó!
sub31_010_0003;¿Quién dices?
sub31_010_0004;El demonio de los mares... ¡Leviatán, kupó!
sub31_010_0005;¿Sí? Bueno, ¡que venga! Tenía esperanzas de que volviera a aparecer mientras yo viviese.
sub31_010_0006;¡Syldra!
sub31_010_0007;¡Uaaah!
sub31_010_0008;Ha llegado la hora de vengar a tu familia y mi bisabuelo. ¿Estás lista?
sub31_010_0009;¡Groaaar!
sub31_010_0010;Bien, ¡rumbo al Inframar!
sub31_010_0011;¡Yo también voy, kupó!
sub31_010_0012;¡Groaaar!
sub31_010_0013;Es la primera vez que vengo, ¡pero no pienso volver, kupó!
sub31_010_0014;¡Uaaah!
sub31_010_0015;Estoy bien. Ni la peor de las tormentas me despeina.
sub31_010_0016;(No sé cómo lo consiguieron Lann y Reynn...)
sub31_010_0017;¿Dónde fue avistado el demonio?
sub31_010_0018;En aguas de Babil, cerca de la Costa Irisada, ¡kupó!
sub31_010_0019;¡Leviatán! ¡¿Dónde estás?! ¡Muéstrate!
sub31_010_0020;¡Ven aquí y lucha conmigo, cobarde!
sub31_010_0021;Vaya escándalo. ¿Quiénes sois?
sub31_010_0022;Oh... O sea, que mató a tus ancestros y ahora quieres vengarte.
sub31_010_0023;Sí. Debe pagar por lo que le hizo a mi bisabuelo y por acabar con la familia de Syldra.
sub31_010_0024;Mmm. Como desees. Procederé a llamarla.
sub31_010_0025;Para variar, siempre montando jaleo. No grites, que te he oído, pequeño adamantaimai.
sub31_010_0026;¿No ves que estaba tratando de divertirme? Echaba de menos estas aguas. Espero que tengas un buen motivo para molestarme.
sub31_010_0027;Somos nosotros quienes te hemos llamado, Leviatán.
sub31_010_0028;¿Quién es este minúsculo ser?
sub31_010_0029;¡¿A quién llamas enana?!
sub31_010_0030;¡Mataste a mi bisabuelo Tycoon! ¡Murió junto con la familia de Syldra!
sub31_010_0031;¡Hoy nos las vas a pagar, a mí y a mi dragona!
sub31_010_0032;¡Y yo estoy aquí para echar una mano, kupó!
sub31_010_0033;¿Tycoon... y Syldra, dices?
sub31_010_0034;Aaah. Impresionante. Entonces ambos linajes han sobrevivido. Un momento, ¿has dicho que querías vengarte de mí?
sub31_010_0035;¡Así es! ¡No hagas como si no te acordases!
sub31_010_0036;Mi bisabuelo era valiente, y luchó contra ti para proteger a la familia de Syldra. Acabó muerto.
sub31_010_0037;Aquel día juramos vengarnos... Y ¡llevamos generaciones esperando!
sub31_010_0038;¡Y he tenido la suerte de que aparezcas mientras yo vivo! Me encargaré de ajustar cuentas contigo.
sub31_010_0039;Mmm...
sub31_010_0040;Je, je, je... ¡Ja, ja, ja!
sub31_010_0041;Jovencita insensata, ¿acaso crees que una sardina como tú puede vencerme? ¿A mí?
sub31_010_0042;¡Ni en un millar de años lo lograrías! ¡Ja, ja, ja!
