sub31_020_0000;Aaarg... He sido... derrotada.
sub31_020_0001;Hemos... ¿ganado?
sub31_020_0002;Así es. Os habéis alzado con la victoria.
sub31_020_0003;¡Viva, kupó!
sub31_020_0004;¡Iiiu!
sub31_020_0005;Dime, gran adamantaimai, ¿puedo preguntarte algo?
sub31_020_0006;¿Eh?
sub31_020_0007;¿De verdad el demonio de los mares de hace cien años era Leviatán?
sub31_020_0008;¿Por qué me lo preguntas?
sub31_020_0009;No sé, es que no me dio la impresión de que fuese un mirage malvado.
sub31_020_0010;¡Ja, ja, ja! Son imaginaciones tuyas. Era el más peligroso de los sirvientes de la díada demoniaca.
sub31_020_0011;Pero ha pasado a mejor vida. Has logrado vengar a tus antepasados.
sub31_020_0012;Ah. Bien.
sub31_020_0013;¡Capitana, lo logramos, kupó!
sub31_020_0014;Sí, y tú has dado el callo la mar de bien.
sub31_020_0015;Uaaah.
sub31_020_0016;Sí, venga, vámonos de aquí.
sub31_020_0017;¡Ja, ja, ja! Y pensar que eras el peor de los terrores de los mares... ¿Desde cuándo eres tan amable?
sub31_020_0018;Silencio o me meterás en un lío si descubren que sigo viva. Cállate hasta que se vayan.
sub31_020_0019;¡Ja, ja, ja!
