sub32_012_0000;Urg...
sub32_012_0001;Oh... Ha faltado poco.
sub32_012_0002;¡Ja, ja, ja! Bien. Eres la guerrera más hábil con la que me he batido en años.
sub32_012_0003;Aunque no podemos continuar. Consigue una nueva espada y terminaremos el duelo.
sub32_012_0004;Esto no va a ser tan fácil como pensaba...
sub32_012_0005;¿Quieres saber si Odín tiene algún punto débil?
sub32_012_0006;Sí. Me han dicho que conoces bien a los sirvientes de la díada y esperaba que pudieras decirme algo sobre él.
sub32_012_0007;Odín... ¡Ah, ya sé! Es un rumor de hace mucho tiempo, sin embargo...
sub32_012_0008;Por fin.
sub32_012_0009;¿Vas a enfrentarte a mí con la misma espada con la que perdiste?
sub32_012_0010;Sí, pero he traído una pequeña sorpresa.
sub32_012_0011;¡Lamuyyy!
sub32_012_0012;¡¿Eh?! Esa chica... Se parece a Lamú...
sub32_012_0013;Es su nieta.
sub32_012_0014;¡Nieta!
sub32_012_0015;Mmm. Veo que has estado informándote, pero ¿eso es todo lo que tienes contra mí?
sub32_012_0016;Sí.
sub32_012_0017;¡Lamuy!
sub32_012_0018;Arg...
sub32_012_0019;¿Qué ocurre? Te ha cambiado el semblante de repente.
sub32_012_0020;¡Silencio! Reza lo que sepas antes de que te parta en dos.
