sub34_010_0000;¡Aaah!
sub34_010_0001;¡Nooo!
sub34_010_0002;¡Apártate!
sub34_010_0003;...
sub34_010_0004;¡Largooo!
sub34_010_0005;Lo sabía... ¿Qué haces aquí, Rydia?
sub34_010_0006;¡Ah! ¡Yuna!
sub34_010_0007;Ah, ya sé qué haces aquí. Has venido para entrenar y superar tus miedos. ¡Encomiable!
sub34_010_0008;Cómo decirlo... Todo el mundo se está esforzando al máximo. No quiero ser un engorro para todos.
sub34_010_0009;Si es así, permíteme que te ayude.
sub34_010_0010;No, no. Sé que estás muy ocupada.
sub34_010_0011;Pero es algo muy importante y quiero formar parte de ello. Déjame que te ayude, por favor.
sub34_010_0012;Las dos somos invocadoras, y hemos de ayudarnos entre nosotras.
sub34_010_0013;Yuna... Eres muy amable.
sub34_010_0014;Entonces, el rival que encarna todos tus temores se encuentra aquí, ¿cierto?
sub34_010_0015;Desde hace poco siento la presencia de un ser poderoso que controla el fuego, tanto que ningún otro mirage quiere acercarse a él.
sub34_010_0016;Tienes razón. Yo también lo percibo. ¿Estás segura de querer seguir, Rydia?
sub34_010_0017;Sí, lo estoy. ¡El único modo de superar mis miedos es enfrentarme al fuego más feroz que encuentre!
sub34_010_0018;Está bien, lo entiendo. ¡Vamos, Rydia!
