sub34_016_0000;Uaaah... Hola, ¿hay alguien ahí?
sub34_016_0001;He... He venido a enfrentarme a ti.
sub34_016_0002;¡Rydia, espera! Aquí pasa algo raro. El alma de este mirage es especial...
sub34_016_0003;Dime, ¿quién eres?
sub34_016_0004;¿Acaso no lo sabes? Hasta los más ignorantes han oído hablar de Ifrita.
sub34_016_0005;¿Ifrita?
sub34_016_0006;Así es. Digamos que soy quien caldea el ambiente en la familia ifrit. No me digáis que habéis llegado aquí por accidente.
sub34_016_0007;¿Así que eres de la estirpe de los ifrits? Perfecto, lo que buscaba. Lucha contra mí, ayúdame a superar mi miedo al fuego. ¡Solo un combate, por favor!
sub34_016_0008;¡Pero bueno! ¿Le tienes miedo al fuego? ¡No puede ser!
sub34_016_0009;Mi fuego te dejará churruscada en un abrir y cerrar de ojos, pero como quieras. Tienes un alma preciosa.
sub34_016_0010;Pero descuida, ¡que será un placer quedarme con ella!
sub34_016_0011;¡Yuna, prepárate!
