sub35_020_0000;Ay, ay, ay.
sub35_020_0001;¡Eso es lo que les pasa a los mirages que se portan mal! ¡Los aldeanos no quieren verte ni en pintura!
sub35_020_0002;¿Eh? ¿Qué pueblo? ¿Qué mirage?
sub35_020_0003;¡Para ya! ¡Escucha, Snow!
sub35_020_0004;¡¿Eh?! ¿Qué haces? ¡No me digas que estás de su parte!
sub35_020_0005;¿Por qué no te tranquilizas un poco y escuchas lo que te dice la gente? ¡Tú, payaso!
sub35_020_0006;¿Quién? ¿Yo?
sub35_020_0007;Antes dijiste que te había atacado un monstruo horrible, ¿no?
sub35_020_0008;¿Qué aspecto tenía?
sub35_020_0009;Mmm, una especie de bestia gigantesca. ¡Pero no era rival para Gilgamesh y su fiel lanza!
sub35_020_0010;¿Ves, Snow? Ese peligroso mirage ya no está. Y tú, Gilgamesh...
sub35_020_0011;Esta no es la persona que estabas buscando. Se llama Snow, no Bartz. 
sub35_020_0012;Es cierto. Tiene cara de ser peligroso, pero tampoco diría que se parece a un monstruo.
sub35_020_0013;¡Hala! ¡¿Entonces Bartz es otra persona?! Ya me parecía raro...
sub35_020_0014;¡Ja, ja, perdona, Gargamesh! Parece que me había confundido.
sub35_020_0015;¡Ja, ja, ja! ¡Me gusta tu estilo! No eres Bartz, pero eres un rival tan digno como él.
sub35_020_0016;Me equivoqué de persona, pero he de decir que fue un buen combate. ¡Me gusta tu estilo!
sub35_020_0017;¿Se escucharán el uno al otro?
sub35_020_0018;Ahora que nos hemos batido en duelo, somos lo que se llama <QUOT>compis<QUOT>.
sub35_020_0019;Compis... ¡Me gusta cómo suena!
sub35_020_0020;¡Creo que nuestro destino era enfrentarnos! ¿Quizá nos conociéramos en una vida anterior?
sub35_020_0021;No... No que yo recuerde.
sub35_020_0022;Y... ¿Alguna vez te han transformado en rana?
sub35_020_0023;Nooo... No que yo recuerde.
sub35_020_0024;Están hechos el uno para el otro.
