sub36_020_0000;Ya está. ¡Tu cueva está a salvo!
sub36_020_0001;¡Gracias, Ifrit! ¡Eres el mejor aliado que podríamos pedir!
sub36_020_0002;No, escuchad... Es un malentendido...
sub36_020_0003;¡No puedo robarle a un tipo tan majo! Te prometo que dejaremos tus tesoros en paz, ¿vale? Quédatelos.
sub36_020_0004;Eso. Si no fuese por ti, ahora no estaríamos contándolo. ¡Nos has salvado! 
sub36_020_0005;Eh... ¡Es verdad! Vuestro fervor... me ha emocionado...
sub36_020_0006;¡No podía permitir que extinguiesen vuestro fuego! Y que sepáis que aquí nunca ha habido tesoro alguno.
sub36_020_0007;¡¿Qué?! ¡¿No hay nada?! Qué aburrimiento.
sub36_020_0008;No pasa nada, Rikku. ¡Hay muchas más cuevas!
sub36_020_0009;Tienes razón. ¡Con un poco de suerte habrá mirages peligrosísimos protegiendo tesoros alucinantes! Si no, me moriré de aburrimiento.
sub36_020_0010;Bingo. Una pena que Ifrit no fuese un temible guardián. ¡Los temibles guardianes indican la presencia de un tesoro! Ya sabes.
sub36_020_0011;¡Sí, cierto! ¡Y el guardián siempre amenaza y dice cosas como <QUOT>¡Preparaos para morir!<QUOT> o algo así antes de atacar!
sub36_020_0012;¡Kué!
sub36_020_0013;Pero no pienso rendirme. ¡En algún lugar hay fantásticos tesoros esperando a ser descubiertos!
sub36_020_0014;¡Bien dicho, Rikku! ¡Eso es!
sub36_020_0015;¡Kué!
sub36_020_0016;Tesoros, tesoros, la, la, la...
sub36_020_0016_1;3221225472
sub36_020_0016_2;3221225472
sub36_020_0016_3;3221225472
sub36_020_0017;Acaban de librarse de Ifrit con una facilidad pasmosa... ¿Quiénes son esos?
