sub42_010_0000;Eh, ¿estás bien?
sub42_010_0001;¡Kué, kué!
sub42_010_0002;Eh... Sí, creo que estoy bien. Muchas gracias.
sub42_010_0003;¿Desde cuándo se ha vuelto Grymoire un lugar tan sombrío?
sub42_010_0004;Kué.
sub42_010_0005;Bueno, no te preocupes. Lograremos salir de esta.
sub42_010_0006;¡Kué!
sub42_010_0007;Anda, un humano capaz de derrotar a los daemonbots. ¿Un iluminado?... ¿O ya ha despertado?
sub42_010_0008;Sea como fuere... Ya sé qué hacer con él.
sub42_010_0009;Bartz...
sub42_010_0010;¡Baaartz!
sub42_010_0011;No me digas que has vuelto para darme la lata con tus bobadas.
sub42_010_0012;Cada cosa tiene su momento y su lugar, ¿vale? Ahora estoy ocupado machacando estas cosas.
sub42_010_0013;¡Kué!
sub42_010_0014;¡Bartz! ¡Llevo mil años esperando este día!
sub42_010_0015;¿Has añadido un cero?
sub42_010_0016;¡Esta vez no escaparás sin batirte en duelo! ¿No quieres derrotar a esos...?
sub42_010_0017;Dimon... Demobot... Damerrobot... ¡Bah, da igual cómo se llamen! Sé cómo detenerlos.
sub42_010_0018;¿Damerrobot? ¿Ein? Aaah, ¿te refieres a los daemonbots? ¿Sabes cómo derrotarlos?
sub42_010_0019;¡Sí! ¡Entonces no hay tiempo que perder! Ha cambiado mi opinión sobre ti, Gilga.
sub42_010_0020;¡Kué, kué!
sub42_010_0021;¡Eh! ¡Estamos yendo muy lejos! Quiero ver el arma secreta de la que me has hablado...
sub42_010_0022;¡Jua, ja, ja! ¡Ha sido tan fácil como me dijo! Ahora que estamos los dos solos, podremos batirnos en duelo. ¡Bartz!
sub42_010_0023;¿Qué? ¿Quién te dijo qué? ¿Sabes cómo detener esas máquinas o no?
sub42_010_0024;¡Ni idea!
sub42_010_0025;¡¿Qué?!
sub42_010_0026;¡¿Kué?!
sub42_010_0027;Lo único que me dijo fue que si afirmaba eso, tú me seguirías. ¡Y ahora acabemos con esto de una vez!
sub42_010_0028;Cierto es que no recuerdo el porqué... ¡Pero hoy es el día en que ajustaré las cuentas que creo tener pendientes contigo!
sub42_010_0029;Bien hecho. Has conseguido traer al protector hasta aquí. Ahora ya no te necesito, vete.
sub42_010_0030;¿Mmm? ¡¿Qué?! Pero si todavía no he luchado contra Bartz...
sub42_010_0031;Silencio. Seré yo... quien acabe con él.
sub42_010_0032;Cuando todos sepan que he derrotado a un protector, mis sueños de alcanzar la gloria se harán realidad.
sub42_010_0033;¿Acaso no te han enseñado a mantener tus promesas? Dijiste que podría batirme en duelo contra Bartz.
sub42_010_0034;Mira tú por dónde... Eso es lo que ha pasado. Este soldado de la Federación te ha engañado, Gilgamesh.
sub42_010_0035;¡Llegó la hora de morir!
sub42_010_0036;Lo siento..., Bartz. ¡¿Cuándo se torcieron las cosas?!
sub42_010_0037;Vaya... Cuando les dé su merecido a estos rufianes, ¡te voy a echar un buen rapapolvo!
sub42_010_0038;¡Kuéee!
