TROPHY_NAME_01;Grymoire conquistado
TROPHY_NAME_02;¿El fin de la historia?
TROPHY_NAME_03;Sonríe
TROPHY_NAME_04;Comienza la aventura
TROPHY_NAME_05;Al rescate de Cornelia
TROPHY_NAME_06;Celeste y carmesí
TROPHY_NAME_07;La profecía cumplida
TROPHY_NAME_08;La batalla final
TROPHY_NAME_09;Mi primer mirage
TROPHY_NAME_10;Coleccionista de mirages
TROPHY_NAME_11;Especialista de mirages
TROPHY_NAME_12;Fanático de mirages
TROPHY_NAME_13;Maestro de mirages
TROPHY_NAME_14;Custodio de mirages
TROPHY_NAME_15;Custodio legendario
TROPHY_NAME_16;El despertar del iluminado
TROPHY_NAME_17;Héroe legendario
TROPHY_NAME_18;Luchador
TROPHY_NAME_19;Guerrero
TROPHY_NAME_20;Cazatesoros
TROPHY_NAME_21;Gran cazatesoros
TROPHY_NAME_22;Venganza lúgubre
TROPHY_NAME_23;Invencible
TROPHY_NAME_24;Curiosidad insaciable
TROPHY_NAME_25;Entre realidad y sueños
TROPHY_NAME_26;Alterando el tiempo
TROPHY_NAME_27;Tejedor del destino
TROPHY_NAME_28;Guardián del tiempo
TROPHY_NAME_29;Filántropo
TROPHY_NAME_30;Alma caritativa
TROPHY_NAME_31;¡Zas, zas, zas!
TROPHY_NAME_32;Justicia glacial
TROPHY_NAME_33;Apagafuegos
TROPHY_NAME_34;Los Caballeros Arándano
TROPHY_NAME_35;Pulpo a feira
TROPHY_NAME_36;Destinos unidos
TROPHY_NAME_37;Daemonbots del más allá
TROPHY_NAME_38;3221225472
TROPHY_NAME_39;Los sirvientes de la díada
TROPHY_NAME_40;Nueve almas
TROPHY_NAME_41;¡No soporto a los hombres!
TROPHY_NAME_42;Una zombi tozuda
TROPHY_NAME_43;Asuntos de amor
TROPHY_NAME_44;Nuevos contrincantes
TROPHY_NAME_45;Gladiadores
TROPHY_NAME_46;Campeones
TROPHY_NAME_47;3221225472
TROPHY_NAME_48;Caballero Magitec
TROPHY_NAME_49;Blitzbolista
TROPHY_NAME_50;Exceso de velocidad
TROPHY_NAME_51;Erradicación del caos
TROPHY_INFO_01;Has desbloqueado todos los logros.
TROPHY_INFO_02;Has terminado el juego.
TROPHY_INFO_03;Has descubierto el verdadero final.
TROPHY_INFO_04;Has llegado a Grymoire.
TROPHY_INFO_05;Has vencido al ejército de Bahamut.
TROPHY_INFO_06;Has encontrado la primera llave.
TROPHY_INFO_07;Has encontrado todas las llaves.
TROPHY_INFO_08;Has llegado al Castillo Exnueve.
TROPHY_INFO_09;Has capturado tu primer mirage.
TROPHY_INFO_10;Has registrado bastantes mirages en la miragepedia.
TROPHY_INFO_11;Has registrado muchos mirages en la miragepedia.
TROPHY_INFO_12;Has registrado un montón de mirages en la miragepedia.
TROPHY_INFO_13;Has registrado todos los mirages en la miragepedia.
TROPHY_INFO_14;Has completado tu primer tablero mirágico.
TROPHY_INFO_15;Has completado 100 tableros mirágicos.
TROPHY_INFO_16;Has obtenido tu primer emblema de protector.
TROPHY_INFO_17;Has obtenido todos los emblemas de protector.
TROPHY_INFO_18;Has luchado en 100 combates.
TROPHY_INFO_19;Has luchado en 500 combates.
TROPHY_INFO_20;Has abierto 100 cofres del tesoro.
TROPHY_INFO_21;Has abierto todos los cofres del tesoro.
TROPHY_INFO_22;Has derrotado a tu primer mirage en una fisura lúgubre.
TROPHY_INFO_23;Has derrotado a los mirages de todas las fisuras lúgubres.
TROPHY_INFO_24;Has encontrado las zonas secretas de todas las mazmorras.
TROPHY_INFO_25;Has completado un viaje astral.
TROPHY_INFO_26;Has completado 10 viajes astrales.
TROPHY_INFO_27;Has completado 30 viajes astrales.
TROPHY_INFO_28;Has completado todos los viajes astrales.
TROPHY_INFO_29;Has completado tu primer encargo.
TROPHY_INFO_30;Has completado todos los encargos.
TROPHY_INFO_31;Has logrado golpear a varios cactilios de un solo golpe.
TROPHY_INFO_32;Has luchado junto a Ultrashiva para derrotar al flan áureo.
TROPHY_INFO_33;Has castigado a Ifrita.
TROPHY_INFO_34;Has resuelto el incidente del Coliseo.
TROPHY_INFO_35;Has derrotado a Ultros en Villa Papiro.
TROPHY_INFO_36;Has luchado junto a Gilgamesh contra el soldado de Bahamut.
TROPHY_INFO_37;Has derrotado al Xenogear.
TROPHY_INFO_38;3221225472
TROPHY_INFO_39;Has capturado a los heptarcas.
TROPHY_INFO_40;Has conseguido que Tamamohime se una a tu grupo.
TROPHY_INFO_41;Has derrotado a la pingüirreina con un ataque de Lann.
TROPHY_INFO_42;Has derrotado a la princesa zombi 10 veces.
TROPHY_INFO_43;Has derrotado a la princesa duende con el Guerrero de la Luz.
TROPHY_INFO_44;Has superado tu primer reto en el Coliseo.
TROPHY_INFO_45;Has superado 30 retos en el Coliseo.
TROPHY_INFO_46;Has superado todos los retos del Coliseo.
TROPHY_INFO_47;3221225472
TROPHY_INFO_48;Has derrotado a muchos enemigos con la unidad Magitec.
TROPHY_INFO_49;Has despejado el cielo de einhänders.
TROPHY_INFO_50;Has llegado muy rápido a la última sala de la Caverna Nébula.
TROPHY_INFO_51;Has completado las nuevas mazmorras.
