VIEWER_MOTION_01;En reposo
VIEWER_MOTION_02;Estado debilitado
VIEWER_MOTION_03;Recibiendo un golpe
VIEWER_MOTION_04;Lanzando un hechizo
VIEWER_MOTION_05;Defensa
VIEWER_MOTION_06;Celebrando la victoria
VIEWER_MOTION_07;Atacando
VIEWER_MOTION_08;Caminando
VIEWER_MOTION_09;Corriendo
VIEWER_MOTION_10;Conversando
VIEWER_MOTION_11;Animación n.º 1
VIEWER_MOTION_12;Animación n.º 2
VIEWER_MOTION_13;Animación n.º 3
VIEWER_MOTION_14;Animación n.º 4
VIEWER_MOTION_15;Animación n.º 5
VIEWER_MOTION_16;Animación n.º 6
VIEWER_MOTION_17;Animación n.º 7
VIEWER_MOTION_18;Animación n.º 8
VIEWER_MOTION_19;Animación n.º 9
VIEWER_MOTION_20;Animación n.º 10
VIEWER_VOICE_01;Voz n.º 1
VIEWER_VOICE_02;Voz n.º 2
VIEWER_VOICE_03;Voz n.º 3
VIEWER_VOICE_04;Voz n.º 4
VIEWER_VOICE_05;Voz n.º 5
VIEWER_VOICE_06;Voz n.º 6
VIEWER_VOICE_07;Voz n.º 7
VIEWER_VOICE_08;Voz n.º 8
VIEWER_VOICE_09;Voz n.º 9
VIEWER_VOICE_10;Voz n.º 10
VIEWER_VOICE_11;Voz n.º 11
VIEWER_VOICE_12;Voz n.º 12
VIEWER_VOICE_13;Voz n.º 13
VIEWER_VOICE_14;Voz n.º 14
VIEWER_VOICE_15;Voz n.º 15
VIEWER_VOICE_16;Voz n.º 16
VIEWER_VOICE_17;Voz n.º 17
VIEWER_VOICE_18;Voz n.º 18
VIEWER_VOICE_19;Voz n.º 19
VIEWER_VOICE_20;---
VIEWER_BACKGROUND_01;Fondo genérico
VIEWER_BACKGROUND_02;Barco de Faris
VIEWER_BACKGROUND_03;Desierto de día
VIEWER_BACKGROUND_04;Desierto al atardecer
VIEWER_BACKGROUND_05;Entrada al reactor
VIEWER_BACKGROUND_06;Núcleo del Reactor Mako 0
VIEWER_BACKGROUND_07;Cima del Gran Puente
VIEWER_BACKGROUND_08;Biblioteca de Villa Papiro
VIEWER_BACKGROUND_09;Sala de la pingüirreina
VIEWER_BACKGROUND_10;Cueva del cenchos
VIEWER_BACKGROUND_11;Portal de la Torre de Cristal
VIEWER_BACKGROUND_12;Portal Artema
VIEWER_BACKGROUND_13;Azotea del Castillo Exnueve
VIEWER_BACKGROUND_14;Fondo n.º 2
VIEWER_BACKGROUND_15;Fondo n.º 3
VIEWER_BACKGROUND_16;Fondo n.º 4
VIEWER_BACKGROUND_17;Fondo n.º 5
VIEWER_BACKGROUND_18;Fondo n.º 6
VIEWER_BACKGROUND_19;Fondo n.º 7
VIEWER_BACKGROUND_20;Fondo genérico
VIEWER_BACKGROUND_001;Floresta Esmeralda
VIEWER_BACKGROUND_001_B;Sala de audiencias de Cornelia
VIEWER_BACKGROUND_002;Sala trielemental de la Caverna Nébula
VIEWER_BACKGROUND_003;Meseta de Vanguardia
VIEWER_BACKGROUND_004;Bosque Fatuo
VIEWER_BACKGROUND_005;Lago del bosque
VIEWER_BACKGROUND_006;Precipicio Témpano
VIEWER_BACKGROUND_007;3221225472
VIEWER_BACKGROUND_008;Muelle de Saronia
VIEWER_BACKGROUND_009;Inframar
VIEWER_BACKGROUND_010;3221225472
VIEWER_BACKGROUND_011;Cañón Dragontino
VIEWER_BACKGROUND_012;Valle Séptimo
VIEWER_BACKGROUND_013;Pantano Viscoso
VIEWER_BACKGROUND_014;Garganta Espectral
VIEWER_BACKGROUND_015;Prisión subterránea
VIEWER_BACKGROUND_016;Reactor Mako 0
VIEWER_BACKGROUND_017;Gran Puente
VIEWER_BACKGROUND_018;Villa Papiro
VIEWER_BACKGROUND_019;Cementerio de trenes
VIEWER_BACKGROUND_020;Entrada al Santuario Hundido
VIEWER_BACKGROUND_021;Entrada a la Torre de Cristal
VIEWER_BACKGROUND_022;Coliseo
VIEWER_BACKGROUND_023;Gran Cadena
VIEWER_BACKGROUND_024;Laberinto del Castillo Exnueve
VIEWER_BACKGROUND_025;Extraverso
VIEWER_BACKGROUND_026;Fisura lúgubre
