npc_shoco_0000_0000;Choco-ching.
npc_shoco_0000_0001;Cho-choco-ching!
npc_shoco_0000_0002;Choco-boco-ching!
npc_shoco_0000_0003;Step right up!
npc_shoco_0000_0004;So? How’s your trip going?
npc_shoco_0000_0005;Come on by if you ever need anything.
npc_shoco_0000_0006;Why not stock up before returning to Grymoire?
npc_shoco_0000_0007;Oh. What’s up?
npc_shoco_0000_0008;Oh, I’m always getting new empty prisms in stock!
npc_shoco_0000_0009;Morning, noon, and brunch, I’m there with a choco-smile!
npc_shoco_0000_0010;Different than usual? Don’t be silly! I just decided to settle down.
npc_shoco_0000_0011;♪ [f2]Super Cross Dimensional[/f]... Salesgirl.
npc_shoco_0000_0012;I’m there when you need me, and there when you don’t!
npc_shoco_0000_0013;Who’s on your side when the going gets tough?
npc_shoco_0000_0014;You can’t spell “the cool cat” without Chocolatte!
npc_shoco_0000_0015;I’m here rain or shine, snowstorm or spearstorm!
npc_shoco_0000_0016;Guess who’s got some brand-spanking new choco-stock!
npc_shoco_0000_0017;The best is yet in store! Might even be in [f2]my[/f] store.
npc_shoco_0000_0018;Choco-boco-lina! Oops! There I go saying it again.
npc_shoco_0000_0019;Did something bad happen? You look very sad.
npc_shoco_0000_0020;Welcome to the Chocolatte Mart!
npc_shoco_0000_0021;Welcome to the Chocolatte Mart!
npc_shoco_0000_0022;Welcome to the Chocolatte Mart!
npc_shoco_0000_0023;What’ll it be?
npc_shoco_0000_0024;Choco-boco-ching?
npc_shoco_0000_0025;Thank you!
npc_shoco_0000_0026;Have a fantabulous day!
npc_shoco_0000_0027;Choco-boco-bye now!
npc_shoco_0000_0028;Some-thing’s-not-quite-right...
npc_shoco_0000_0029;I’m afraid you don’t have the space for that.
npc_shoco_0000_0030;Oh dear. You don’t quite have the gil to cover that.
npc_shoco_0000_0031;Good luck!
npc_shoco_0000_0032;Break a leg!
npc_shoco_0000_0033;Go get ’em!
