npc_undead_0000_0000;Yeah, what?
npc_undead_0000_0001;Come one, come all!
npc_undead_0000_0002;Step right up, folks!
npc_undead_0000_0003;Leave it...
npc_undead_0000_0004;Oops. Old habits.
npc_undead_0000_0005;Welcome to the inn that chills you to your bones... Uh, I mean, warms you to your heart!
npc_undead_0000_0006;Lodgings! We’ve got your lodgings! Shake off the cold at m’lady Sherlotta’s Solace!
npc_undead_0001_0000;Hmm? Oh, hang on a sec. You must be those Mirage Keepers m’lady is all BFF with.
npc_undead_0001_0001;Hidey ho. What can I do for you?
npc_undead_0001_0002;Ohhh... You want a real scare.
npc_undead_0001_0003;NYAAAAH!
npc_undead_0001_0004;Buuut, I don’t feel like wearing out my face muscles, and the animators didn’t feel like going the extra mile, so why don’t we just leave it at “next time,” okay? Okay! Back to work. Byyye!
npc_undead_0001_0005;You dare challenge me? I’ll teach you the meaning of fear...
npc_undead_0001_0006;No hard feelings...when you’re dead!
npc_undead_0001_0007;Oh, did I forget to mention you can’t kill me?
npc_undead_0001_0008;Oh, thank you! At last my soul will be at rest!
npc_undead_0001_0009;...Pfft, NOT!
npc_undead_0002_0000;Have her make a funny face.
npc_undead_0002_0001;How about a fight?
npc_undead_0002_0002;Never mind.
npc_undead_0002_0003;What will you do?
