CHARACTER_JITEN_01_VOICEACTOR;CV: Josh Keaton / Soma Saito
CHARACTER_JITEN_01_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY[/f][~]
CHARACTER_JITEN_01_1;[#ff368c79]Age in Nine Wood Hills:[/#] 15[~][~][#ff368c79]Notes:[/#] Markings on his left arm / “Dude!” / Reynn’s younger twin brother / Mentally incontinent, but morally regular / Considers proper word usage to be optional[~][~]
CHARACTER_JITEN_01_2;[#ff368c79]Personality[/#][~]While Lann may seem like a dummy, he has a good heart, a strong sense of responsibility, and he always puts his family first. Note that he steps out in front of his sister when danger approaches, almost automatically, which would imply he holds her life more dear than his own.[~][~]
CHARACTER_JITEN_01_3;[#ff368c79]Memories from 100 Years Ago[/#][~]If they had merely forgotten their past, Lann and Reynn might have been able to remember it again, but those memories were literally “lost” and cannot be retrieved. Thus, anything the twins [f2]have[/f] been “remembering” must [f2]not[/f] have been lost.[~][~]What did Tama mean when she said Lann and Reynn could have “ruled the world”? How did they meet the Pleiad? If there used to be more Mirage Keepers, then just imagine how many Mirages there were. Perhaps brother and sister used to be acquainted with other Champions, from that other time. But we can no longer relive those stories with Lann and Reynn. At least, not from where they are standing now...[~][~]
CHARACTER_JITEN_01_4;[#ff368c79]Lann’s Future[/#][~]Through their exploits in Grymoire, Lann and Reynn have proven their worth and been elevated to the pantheon of Champions. These heroes serve the A-Worlds, the Realms of Fantasy under Alexander’s dominion. And so we may meet the twins again: in one of these worlds, or perhaps more.[~][~]
CHARACTER_JITEN_02_VOICEACTOR;CV: Amanda Leighton / Sora Amamiya
CHARACTER_JITEN_02_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY[/f][~]
CHARACTER_JITEN_02_1;[#ff368c79]Age in Nine Wood Hills:[/#] 15[~][~][#ff368c79]Notes:[/#] Markings on her right arm / Lann’s older twin sister / Likes to call the shots and keep Lann in line / Always on the ball / [f2]Almost [/f]makes up for Lann with her quick judgment and careful planning[~][~]
CHARACTER_JITEN_02_2;[#ff368c79]Under Enna Kros’s Watchful Eye[/#][~]Enna Kros said that she “checked up” on Reynn and Lann during their slumber in Nine Wood Hills, but why? Did she feel some sort of strong attachment to them?[~][~]
CHARACTER_JITEN_02_3;[#ff368c79]Hand-Picked[/#][~]Despite her significant physical and emotional strength, Reynn is not invincible. She is particularly easy to wound, it seems, when it comes to family, as you may have noted after she experienced the loss of her brother. However, Reynn rose above that moment of weakness and pushed onward, no matter how much it hurt—and this is exactly the kind of fortitude Enna Kros was banking on.[~][~]Enna Kros hand-picked Reynn and Lann, in fact, from among all the denizens of all the Realms of Fantasy. Perhaps she has other favorites we can meet in another tale.[~][~]
CHARACTER_JITEN_02_4;[#ff368c79]Reynn’s Future[/#][~]The Reynn and Lann that were bestowed upon Hauyn as prismariums are, as it turns out, newly born Champions. But what of the Lann and Reynn who were sucked through the gate? That is a story for another time.[~][~]
CHARACTER_JITEN_03_VOICEACTOR;CV: Cassandra Morris / Kana Hanazawa
CHARACTER_JITEN_03_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY [/f](Apocrypha)[~]
CHARACTER_JITEN_03_1;[#ff368c79]Supposed Age:[/#] 24[~](And never a day older, says she)[~][~][#ff368c79]Notes:[/#] Surprisingly casual / Seems kind of hands-off / Old friend of Tama and Serafie / Sincere, and never known to lie / Drops dire truths with a smile, making it hard to tell when to be worried[~][~]
CHARACTER_JITEN_03_2;[#ff368c79]She’s God[/#][~]No, really, she is. While some regard her as a funny lady with a divinity complex, she is in fact the real actual creator of Grymoire and other “Realms of Fantasy.” She calls the shots and makes the rules, although she (usually) prefers not to interfere once they’re in place.[~][~]Basically, gods never make mistakes, and so if humanity is a divine creation, then all possible deeds of humankind must fall within divine parameters and therefore be error-free, right? And since humanity is error-free, why should god have to work? Her nine-to-five shift ended when she created people. Such are the reckless musings of Enna Kros, Lazy God.[~][~]
CHARACTER_JITEN_03_3;[#ff368c79]The Realms of Fantasy[/#][~]When building her worlds, Enna Kros took glimpses at many other worlds outside her dominion, cherry-picked the elements she liked, and integrated these “figments” into her creations. Her Champion System derives from this mechanic.[~][~]Since before using the power of fantasy to create worlds, Enna Kros has maintained a close friendship with The Girl Who Forgot Her Name, whom she found by chance at the source of that power.[~][~]
CHARACTER_JITEN_03_4;[#ff368c79]The Champion System[/#][~]At the core of Enna Kros’s fantasy worlds lies a crystal, which The Girl Who Forgot Her Name refers to as the Deus Crystal. Conceived by dreams, the crystal can take flights of fancy to distant worlds that have no logical connection to its own. Enna Kros (better known as Alexander) sifts through the figments the crystal finds in search of souls with the potential to protect her worlds from threats like the Exnine Knights and the Cogna. She then shapes these souls into Crystal Cubes, which become a descendible, self-sufficient system of antibodies that activates when her universe is threatened from the outside.[~][~]
CHARACTER_JITEN_03_5;[#ff368c79]Alexander as Enna Kros[/#][~]The woman “Enna Kros” is not the god Alexander’s true divine form, but rather that of a soldier named Roksanne who existed prior to the creation of the Realms of Fantasy. Alexander was fond of Roksanne’s spirit and chose to merge with her soul rather than absorb it. (Incidentally, Roksanne once summoned Tama and had a pact with her.)[~][~]Of course, a god’s mind is vast and requires many faces. While life as Roksanne provides much enjoyment, Alexander also frequently appears as a male: a fierce young man named Aris. (This young man was once Serafie’s master.) So you see, outside of Grymoire, depending on which A-World you pay a visit to, you might find that god has more forms than one.[~][~]
CHARACTER_JITEN_04_VOICEACTOR;CV: Lisa Kay Jennings / Ayana Taketatsu
CHARACTER_JITEN_04_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY [/f](Apocrypha)[~]
CHARACTER_JITEN_04_1;[#ff368c79]Age:[/#] Immeasurable[~](Due to her alternate interpretation of time)[~][~][#ff368c79]Notes:[/#] Navigator / Talks the-funny / Floats / Rides on people’s heads / A little girl at heart / Knows how to run with a joke / Pure and innocent[~][~]
CHARACTER_JITEN_04_2;[#ff368c79]Sphere of Influence[/#][~]Tama maintains an extremely high number of thresholds, and commands a large repertory of talents. However, depending on the world she visits, she must limit her talents to a smaller subset. For example, in Grymoire, Tama can help Lann and Reynn out by negating their deaths or other failures (through microreversals of time) or control space (as with Gate travel). She is required to pay for these actions in lives (or souls), but all the same her powers rival that of a god’s. No wonder she’s prevented from using them all at once.[~][~]
CHARACTER_JITEN_04_3;[#ff368c79]Relationship with Enna Kros[/#][~]Tama has known Enna Kros since before she became a god. She possesses far vaster powers than her small stature suggests.[~][~]
