ev05_0050_0000;That’s the-beee-yoootiful!
ev05_0050_0001;[f2]Wait a sec. I know I’ve seen that before...[~]But where? I can’t remember.[/f]
ev05_0050_0002;Jiants traveling with a Mirage?[~]It seems clear the two of you are not from Grymoire.
ev05_0050_0003;Ah! I the-totally forgot about hiding!
ev05_0050_0004;Yeah, we kinda forgot to shrink down too.
ev05_0050_0005;What’s your name?[~]You know, that staff—
ev05_0050_0006;My name is Yuna.
ev05_0050_0007;Are you Heralds? Have more of you been sent to plague us?[~]Your kind have brought enough chaos into this world already.
ev05_0050_0008;Keeeeee!
ev05_0050_0009;Begone now from Grymoire![~]You have no place here!
ev05_0050_0000a;ANIMATION (Priority B): Starts here[~]The Summoner Yuna
ev05_0050_0000b;ANIMATION (Priority B): Ends here
