ev16_0110_0000;Bwaaah!
ev16_0110_0001;No fair ganging up on me like that, you cowards!
ev16_0110_0002;Baaartz!
ev16_0110_0003;Ugh, what?
ev16_0110_0004;Next time, it’s just you and me.
ev16_0110_0005;Thaaat’s definitely not happening.
ev16_0110_0006;Kweh!
ev16_0110_0007;D’oh! Uh...[~]Well, I’ve given you enough of a beating anyway.
ev16_0110_0008;Good day!
ev16_0110_0009;So, uh, who mixed up [f2]his[/f] marbles?
ev16_0110_0010;Got me.
ev16_0110_0011;Kweh...
ev16_0110_0012;Well...at least he’s out of our hair, I guess?
ev16_0110_0013;Wouldn’t that be nice.
ev16_0110_0014;Huh...?
