ev20_0020_0000;Huh? You mean we...won?
ev20_0020_0001;Honk YEAH![~]And here I thought that was gonna be hard.
ev20_0020_0002;That was the-mazing! Think of all the people across the-Grymoire[~]that you just saved from their plight!
ev20_0020_0003;Yeah, but I bet those nutcases who sided[~]with the Federation are gonna sweat.
ev20_0020_0004;......
ev20_0020_0005;Oh, right![~]Reynn, come on! We gotta bust Mom out.
ev20_0020_0006;Oh, right.[~]But, how do we open it?
ev20_0020_0007;You again?
ev20_0020_0008;Activate it.
ev20_0020_0009;Huh? Sorry?
ev20_0020_0010;Only Mirage Keepers are permitted to use that mighty portal—[~]the Ultima Gate.
ev20_0020_0011;With the Ultima Gate, the power of the crystals becomes yours to control.[~]Opening a mere cage would be no challenge at all.
ev20_0020_0012;......!
ev20_0020_0013;......!
ev20_0020_0014;I think I’m...starting to remember...
ev20_0020_0015;The portal... It started to shine...[~]And then the cage appeared.
ev20_0020_0016;Then, that means this isn’t your the-first time seeing it!
ev20_0020_0017;Yeah... It’s hazy, but I’ve seen this gate before.
ev20_0020_0018;Then you know what to do. Use it.
ev20_0020_0019;W-wait! Who [f2]are[/f] you?
ev20_0020_0020;......
ev20_0020_0021;......?!
ev20_0020_0022;Reynn, why must you cause Lady Lusse so many headaches?
ev20_0020_0023;What? But I didn’t do anything bad at all![~]You shouldn’t go saying stuff like that about me, okay Hauyn?
ev20_0020_0024;Hey! What’d I tell you? We’re like sisters.[~]Since you and I are close, why don’t you call me Wyn?
ev20_0020_0025;Hee hee! Okay, I will, Wyn.
ev20_0020_0026;That’s our...sister...
ev20_0020_0027;What? Did you just say...“our sister”?
ev20_0020_0028;I didn’t know you had an older the-sister!
ev20_0020_0029;Let’s reminisce later. Save Lady Lusse.
ev20_0020_0030;So then, that really [f2]is[/f] our mom in the cage?
ev20_0020_0031;Well, okay then. Let’s hurry up and[~]activate that Ultima Gate thingamajig and bust the cage open!
ev20_0020_0032;R-right!
ev20_0020_0033;Mom!
ev20_0020_0034;Mom!
ev20_0020_0035;The prophecy...has ended in crimson...
ev20_0020_0035_1;......
ev20_0020_0035_2;......
ev20_0020_0036;Mom!
ev20_0020_0037;Huh?
ev20_0020_0038;Hweh?!
ev20_0020_0039;Huh?!
ev20_0020_0039_1;Wh-what? How can this...
ev20_0020_0040;Hwah?!
ev20_0020_0041;How could you do this...twice?
ev20_0020_0042;Whaaat?!
ev20_0020_0043;What do you mean?
ev20_0020_0044;You opened it again.
ev20_0020_0045;Ha ha ha ha ha![~]The Crimson Prophecy has been fulfilled!
ev20_0020_0046;A ridiculous piece of theater, but well done.
ev20_0020_0047;I commend you all.[~]You may dispense with the illusion now, Ywain.
ev20_0020_0048;I thought Segwarides’ laborious narrative might never end.
ev20_0020_0049;I share that sentiment.[~]Should we do this again, you will keep your prophecy more concise.
ev20_0020_0050;Hee hee hee hee! But you cannot accuse me of excess.[~]Every step was necessary to the plan.
ev20_0020_0051;Hee hee hee ha ha!
ev20_0020_0052;Tell me, what of the soul crystal?[~]How much of the populace have we harvested?
ev20_0020_0053;If I had to offer up a guess,[~]then just about four souls in every ten.
ev20_0020_0054;Is that all?[~]After a whole century?
ev20_0020_0055;I have been selective, and discreet. With Champions awakening again,[~]we’re lucky to have pulled off such a feat. Hee hee hee hee!
ev20_0020_0056;NOT USED
ev20_0020_0057;What is going on...?[~]Reynn, tell me what’s happening!
ev20_0020_0058;How am I supposed to know?
ev20_0020_0059;Wyn, what is this?[~]What’s going on?
ev20_0020_0060;......
ev20_0020_0061;Aaah!
ev20_0020_0062;Aaah!
ev20_0020_0063;Aaah!
ev20_0020_0064;Aaah!
