ev22_0080_0000;Enouuugh!
ev22_0080_0001;Don’t! You have to stay in control of your power!
ev22_0080_0002;Mom...
ev22_0080_0003;Mom, I’m sorry. I...
ev22_0080_0004;You should turn those corners up,[~]or your happiness will spill right out.
ev22_0080_0005;Come on. Smile.
ev22_0080_0006;Hmm... Transient though their presence here was,[~]it is curious you managed to defeat them.
ev22_0080_0007;Sorry. We couldn’t stop him!
ev22_0080_0008;Don’t worry, we will!
ev22_0080_0009;Yeah!
ev22_0080_0010;Careful, he can transform!
ev22_0080_0100;AD LIB
ev22_0080_0101;AD LIB
