GIMMICK_GATE_QUESTION;What would you like to do?
GIMMICK_GATE_GEMCASE;Access Prism Case
GIMMICK_GATE_TELEPORT;Travel
GIMMICK_GATE_CANCEL;Never mind
GIMMICK_GATE_CONFIRM_RETURN;Return to Nine Wood Hills?
GIMMICK_GATE_YES;Yes
GIMMICK_GATE_NO;No
GIMMICK_GATE_QUESTION_TELEPORT;Where would you like to go?
GIMMICK_GATE_EXDUNGEON_A;Enter this mysterious location?
GIMMICK_GATE_EXDUNGEON_B;Enter this mysterious location?
GIMMICK_GATE_EXDUNGEON_C;Enter this mysterious location?
GIMMICK_GATE_EXDUNGEON_Z;Enter this mysterious location?
GIMMICK_GATE_GEMCASE2;Save / Access Prism Case
