ITEM_NAME_000;Potion
ITEM_NAME_000_LC01;potion
ITEM_NAME_000_LC02;NOT USED
ITEM_NAME_000_LC03;the<SPACE>
ITEM_NAME_000_LC04;a<SPACE>
ITEM_NAME_000_LC05;potions
ITEM_NAME_000_LC06;NOT USED
ITEM_NAME_000_LC07;NOT USED
ITEM_NAME_000_LC08;NOT USED
ITEM_NAME_000_LC09;NOT USED
ITEM_NAME_001;Ether
ITEM_NAME_001_LC01;ether
ITEM_NAME_001_LC02;NOT USED
ITEM_NAME_001_LC03;the<SPACE>
ITEM_NAME_001_LC04;an<SPACE>
ITEM_NAME_001_LC05;ethers
ITEM_NAME_001_LC06;NOT USED
ITEM_NAME_001_LC07;NOT USED
ITEM_NAME_001_LC08;NOT USED
ITEM_NAME_001_LC09;NOT USED
ITEM_NAME_002;Antidote
ITEM_NAME_002_LC01;antidote
ITEM_NAME_002_LC02;NOT USED
ITEM_NAME_002_LC03;the<SPACE>
ITEM_NAME_002_LC04;an<SPACE>
ITEM_NAME_002_LC05;antidotes
ITEM_NAME_002_LC06;NOT USED
ITEM_NAME_002_LC07;NOT USED
ITEM_NAME_002_LC08;NOT USED
ITEM_NAME_002_LC09;NOT USED
ITEM_NAME_003;Gysahl Greens
ITEM_NAME_003_LC01;gysahl greens
ITEM_NAME_003_LC02;NOT USED
ITEM_NAME_003_LC03;the<SPACE>
ITEM_NAME_003_LC04;some<SPACE>
ITEM_NAME_003_LC05;gysahl greens
ITEM_NAME_003_LC06;NOT USED
ITEM_NAME_003_LC07;NOT USED
ITEM_NAME_003_LC08;NOT USED
ITEM_NAME_003_LC09;NOT USED
ITEM_NAME_004;Phoenix Down
ITEM_NAME_004_LC01;phoenix down
ITEM_NAME_004_LC02;NOT USED
ITEM_NAME_004_LC03;the<SPACE>
ITEM_NAME_004_LC04;some<SPACE>
ITEM_NAME_004_LC05;phoenix down
ITEM_NAME_004_LC06;NOT USED
ITEM_NAME_004_LC07;NOT USED
ITEM_NAME_004_LC08;NOT USED
ITEM_NAME_004_LC09;NOT USED
ITEM_NAME_005;Hi-Potion
ITEM_NAME_005_LC01;hi-potion
ITEM_NAME_005_LC02;NOT USED
ITEM_NAME_005_LC03;the<SPACE>
ITEM_NAME_005_LC04;a<SPACE>
ITEM_NAME_005_LC05;hi-potions
ITEM_NAME_005_LC06;NOT USED
ITEM_NAME_005_LC07;NOT USED
ITEM_NAME_005_LC08;NOT USED
ITEM_NAME_005_LC09;NOT USED
ITEM_NAME_006;X-Potion
ITEM_NAME_006_LC01;X-potion
ITEM_NAME_006_LC02;NOT USED
ITEM_NAME_006_LC03;the<SPACE>
ITEM_NAME_006_LC04;an<SPACE>
ITEM_NAME_006_LC05;X-potions
ITEM_NAME_006_LC06;NOT USED
ITEM_NAME_006_LC07;NOT USED
ITEM_NAME_006_LC08;NOT USED
ITEM_NAME_006_LC09;NOT USED
ITEM_NAME_007;Mega-Potion
ITEM_NAME_007_LC01;mega-potion
ITEM_NAME_007_LC02;NOT USED
ITEM_NAME_007_LC03;the<SPACE>
ITEM_NAME_007_LC04;a<SPACE>
ITEM_NAME_007_LC05;mega-potions
ITEM_NAME_007_LC06;NOT USED
ITEM_NAME_007_LC07;NOT USED
ITEM_NAME_007_LC08;NOT USED
ITEM_NAME_007_LC09;NOT USED
ITEM_NAME_008;Elixir
ITEM_NAME_008_LC01;elixir
ITEM_NAME_008_LC02;NOT USED
ITEM_NAME_008_LC03;the<SPACE>
ITEM_NAME_008_LC04;an<SPACE>
ITEM_NAME_008_LC05;elixirs
ITEM_NAME_008_LC06;NOT USED
ITEM_NAME_008_LC07;NOT USED
ITEM_NAME_008_LC08;NOT USED
ITEM_NAME_008_LC09;NOT USED
ITEM_NAME_009;Megalixir
ITEM_NAME_009_LC01;megalixir
ITEM_NAME_009_LC02;NOT USED
ITEM_NAME_009_LC03;the<SPACE>
ITEM_NAME_009_LC04;a<SPACE>
ITEM_NAME_009_LC05;megalixirs
ITEM_NAME_009_LC06;NOT USED
ITEM_NAME_009_LC07;NOT USED
ITEM_NAME_009_LC08;NOT USED
ITEM_NAME_009_LC09;NOT USED
ITEM_NAME_010;Hi-Ether
ITEM_NAME_010_LC01;hi-ether
ITEM_NAME_010_LC02;NOT USED
ITEM_NAME_010_LC03;the<SPACE>
ITEM_NAME_010_LC04;a<SPACE>
ITEM_NAME_010_LC05;hi-ethers
ITEM_NAME_010_LC06;NOT USED
ITEM_NAME_010_LC07;NOT USED
ITEM_NAME_010_LC08;NOT USED
ITEM_NAME_010_LC09;NOT USED
ITEM_NAME_011;Turbo Ether
ITEM_NAME_011_LC01;turbo ether
ITEM_NAME_011_LC02;NOT USED
ITEM_NAME_011_LC03;the<SPACE>
ITEM_NAME_011_LC04;a<SPACE>
ITEM_NAME_011_LC05;turbo ethers
ITEM_NAME_011_LC06;NOT USED
ITEM_NAME_011_LC07;NOT USED
ITEM_NAME_011_LC08;NOT USED
ITEM_NAME_011_LC09;NOT USED
ITEM_NAME_012;Mega-Ether
ITEM_NAME_012_LC01;mega-ether
ITEM_NAME_012_LC02;NOT USED
ITEM_NAME_012_LC03;the<SPACE>
ITEM_NAME_012_LC04;a<SPACE>
ITEM_NAME_012_LC05;mega-ethers
ITEM_NAME_012_LC06;NOT USED
ITEM_NAME_012_LC07;NOT USED
ITEM_NAME_012_LC08;NOT USED
ITEM_NAME_012_LC09;NOT USED
ITEM_NAME_013;Eye Drops
ITEM_NAME_013_LC01;eye drops
ITEM_NAME_013_LC02;NOT USED
ITEM_NAME_013_LC03;the<SPACE>
ITEM_NAME_013_LC04;some<SPACE>
ITEM_NAME_013_LC05;eye drops
ITEM_NAME_013_LC06;NOT USED
ITEM_NAME_013_LC07;NOT USED
ITEM_NAME_013_LC08;NOT USED
ITEM_NAME_013_LC09;NOT USED
ITEM_NAME_014;Rememb Herbs
ITEM_NAME_014_LC01;rememb herbs
ITEM_NAME_014_LC02;NOT USED
ITEM_NAME_014_LC03;the<SPACE>
ITEM_NAME_014_LC04;some<SPACE>
ITEM_NAME_014_LC05;rememb herbs
ITEM_NAME_014_LC06;NOT USED
ITEM_NAME_014_LC07;NOT USED
ITEM_NAME_014_LC08;NOT USED
ITEM_NAME_014_LC09;NOT USED
ITEM_NAME_015;Pick-Me-Up
ITEM_NAME_015_LC01;pick-me-up
ITEM_NAME_015_LC02;NOT USED
ITEM_NAME_015_LC03;the<SPACE>
ITEM_NAME_015_LC04;a<SPACE>
ITEM_NAME_015_LC05;pick-me-ups
ITEM_NAME_015_LC06;NOT USED
ITEM_NAME_015_LC07;NOT USED
ITEM_NAME_015_LC08;NOT USED
ITEM_NAME_015_LC09;NOT USED
ITEM_NAME_016;Smelling Salts
ITEM_NAME_016_LC01;smelling salts
ITEM_NAME_016_LC02;NOT USED
ITEM_NAME_016_LC03;the<SPACE>
ITEM_NAME_016_LC04;some<SPACE>
ITEM_NAME_016_LC05;smelling salts
ITEM_NAME_016_LC06;NOT USED
ITEM_NAME_016_LC07;NOT USED
ITEM_NAME_016_LC08;NOT USED
ITEM_NAME_016_LC09;NOT USED
ITEM_NAME_017;Wobblestopper
ITEM_NAME_017_LC01;wobblestopper
ITEM_NAME_017_LC02;NOT USED
ITEM_NAME_017_LC03;the<SPACE>
ITEM_NAME_017_LC04;a<SPACE>
ITEM_NAME_017_LC05;wobblestoppers
