ITEM_NAME_MIRASTONE_001;Fire Mirajewel
ITEM_NAME_MIRASTONE_001_LC01;Fire mirajewel
ITEM_NAME_MIRASTONE_001_LC02;NOT USED
ITEM_NAME_MIRASTONE_001_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_001_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_001_LC05;Fire mirajewels
ITEM_NAME_MIRASTONE_001_LC06;NOT USED
ITEM_NAME_MIRASTONE_001_LC07;NOT USED
ITEM_NAME_MIRASTONE_001_LC08;NOT USED
ITEM_NAME_MIRASTONE_001_LC09;NOT USED
ITEM_NAME_MIRASTONE_002;Fira Mirajewel
ITEM_NAME_MIRASTONE_002_LC01;Fira mirajewel
ITEM_NAME_MIRASTONE_002_LC02;NOT USED
ITEM_NAME_MIRASTONE_002_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_002_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_002_LC05;Fira mirajewels
ITEM_NAME_MIRASTONE_002_LC06;NOT USED
ITEM_NAME_MIRASTONE_002_LC07;NOT USED
ITEM_NAME_MIRASTONE_002_LC08;NOT USED
ITEM_NAME_MIRASTONE_002_LC09;NOT USED
ITEM_NAME_MIRASTONE_003;Firaga Mirajewel
ITEM_NAME_MIRASTONE_003_LC01;Firaga mirajewel
ITEM_NAME_MIRASTONE_003_LC02;NOT USED
ITEM_NAME_MIRASTONE_003_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_003_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_003_LC05;Firaga mirajewels
ITEM_NAME_MIRASTONE_003_LC06;NOT USED
ITEM_NAME_MIRASTONE_003_LC07;NOT USED
ITEM_NAME_MIRASTONE_003_LC08;NOT USED
ITEM_NAME_MIRASTONE_003_LC09;NOT USED
ITEM_NAME_MIRASTONE_004;Blizzard Mirajewel
ITEM_NAME_MIRASTONE_004_LC01;Blizzard mirajewel
ITEM_NAME_MIRASTONE_004_LC02;NOT USED
ITEM_NAME_MIRASTONE_004_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_004_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_004_LC05;Blizzard mirajewels
ITEM_NAME_MIRASTONE_004_LC06;NOT USED
ITEM_NAME_MIRASTONE_004_LC07;NOT USED
ITEM_NAME_MIRASTONE_004_LC08;NOT USED
ITEM_NAME_MIRASTONE_004_LC09;NOT USED
ITEM_NAME_MIRASTONE_005;Blizzara Mirajewel
ITEM_NAME_MIRASTONE_005_LC01;Blizzara mirajewel
ITEM_NAME_MIRASTONE_005_LC02;NOT USED
ITEM_NAME_MIRASTONE_005_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_005_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_005_LC05;Blizzara mirajewels
ITEM_NAME_MIRASTONE_005_LC06;NOT USED
ITEM_NAME_MIRASTONE_005_LC07;NOT USED
ITEM_NAME_MIRASTONE_005_LC08;NOT USED
ITEM_NAME_MIRASTONE_005_LC09;NOT USED
ITEM_NAME_MIRASTONE_006;Blizzaga Mirajewel
ITEM_NAME_MIRASTONE_006_LC01;Blizzaga mirajewel
