COMMON_EMPTY;<EMPTY>
COMMON_ERROR;Error: <STR PARAM>
COMMON_RELEASE;Remove
COMMON_GIL;gil
COMMON_HELP_MESSAGE_TITLE;HELP
COMMON_EXPERIENTIAL;EXP
COMMON_YES;Yes
COMMON_NO;No
COMMON_QUESTION_00;? ? ?
COMMON_QUESTION_01;? ? ? ? ?
COMMON_QUESTION_02;? ? ? ? ? ×<NUM PARAM>
COMMON_LIBRARY_MIRAGE;Mirage Manual
COMMON_LIBRARY_PERSON;Who’s Who
COMMON_LIBRARY_TUTORIAL;Tip Jar
COMMON_LIBRARY_MOVIEVIEWER;Theater Mode
COMMON_NO_INF_00;———
COMMON_NO_INF_01;-
COMMON_NOT_LV;—
COMMON_MIRAGE_HABITAT;Mirages Discovered
COMMON_MIRAGEBOARD;Mirage Boards
COMMON_ITEM;Items
COMMON_ABILITY;Abilities
COMMON_MIRASTONE;Mirajewels
COMMON_DICTIONARY_ENTRY;<MESID00 MONSTER_NAME> has been added to the Mirage Manual.
COMMON_GET_GEM;Obtained <MESID04 MONSTER_NAME>[#ffffff73]<MESID01 MONSTER_NAME> prismarium[/#].
COMMON_GET_ARUTOBOX;Obtained <MESID04 MONSTER_NAME>[#ffffff73]<MESID01 MONSTER_NAME> eldbox[/#].
COMMON_NOSENOSE_ICON;<STR PARAM1><STR PARAM2>
COMMON_PLAYERNAME_DEFAULT_00;Lann
COMMON_PLAYERNAME_DEFAULT_01;Reynn
COMMON_TOWERNAME_DEFAULT_00;Bigstack L
COMMON_TOWERNAME_DEFAULT_01;Bigstack R
COMMON_TOWERNAME_DEFAULT_02;Lilstack L
COMMON_TOWERNAME_DEFAULT_03;Lilstack R
COMMON_USE_ERROR;Cannot be used here.
COMMON_ABILITY_LIST;View Abilities
COMMON_ITEM_NAME;<MESID00 ITEM>
SUBMENU_ABILITY_DETAIL;Modify Abilities
SUBMENU_BODY_CHANGE;Change Size
SUBMENU_HENSINKA;Transfigurations
SUBMENU_ADIEU;Dismiss
SUBMENU_FORMATION;Stack Setup
STATUS_STATUS;Stats
STATUS_LEVEL;LV
STATUS_HP;HP
STATUS_AP;AP
STATUS_HP_LONG;HP
STATUS_AP_LONG;AP
STATUS_SP;SP
STATUS_PHYSICAL_ATTACK;Strength
STATUS_PHYSICAL_DEFENSE;Defense
STATUS_MAGIC_ATTACK;Magic
STATUS_MAGIC_DEFENSE;Magic Defense
STATUS_AGILITY;Agility
STATUS_DOSSIRI;Weight
STATUS_RESIST_LIST;Ailment Resistances
STATUS_ELEMENT_LIST;Elemental Resistances
STATUS_ABILITY_LIST;Available Abilities
STATUS_ABILITY_LIST2;Available Abilities <NUM PAGE>
STATUS_NEXTEXP;Next LV
STATUS_NAME;NOT USED
STATUS_LIST;Information
STATUS_GROWTH;Growth Ratings
STATUS_ABILITY_LIST3;Stack Abilities
