MINIGAME_01_00;MINIGAME 01
MINIGAME_RETRY_MESSAGE;Try again?
MINIGAME_RETRY_YES;Yes
MINIGAME_RETRY_NO;No
MINIGAME_RESULT_TITLE;Summary
MINIGAME_RESULT_SCORE;Score
MINIGAME_RESULT_HISCORE;High Score
MINIGAME_RESULT_NEWRECORD;New high score!
MINIGAME_COMBO_X;x
MINIGAME_SB_PLACEMENT1;Choose a starting square for Terra and her Magitek armor.
MINIGAME_SB_PLACEMENT2;Choose a starting square for Shelke.
MINIGAME_SB_PLACEMENT3;Choose a starting square for Vivi.
MINIGAME_SB_PLACEMENT_MES;Proceed with this formation?
MINIGAME_SB_PLACEMENT_YES;Yes
MINIGAME_SB_PLACEMENT_NO;No
MINIGAME_SB_PLAYER_NAME1;Terra/Magitek Armor
MINIGAME_SB_PLAYER_NAME2;Shelke
MINIGAME_SB_PLAYER_NAME3;Vivi
MINIGAME_SB_SELECT_CHARA_MES;Select the character who will act this turn.
MINIGAME_SB_SELECT_ACT_MES;Choose an action.
MINIGAME_SB_ACT_MOVE;Move
MINIGAME_SB_ACT_ATTACK;Attack
MINIGAME_SB_RETRY_MESSAGE;Try again?
MINIGAME_SB_RETRY_YES;Yes
MINIGAME_SB_RETRY_NO;No
MINIGAME_SB_SELECT_MOVE_POS;Select the location to move to.
MINIGAME_SB_SELECT_ATTACK_POS;Select the location to attack.
MINIGAME_GUIDE_RETIRE;Give Up
MINIGAME_RETIRE_MESSAGE;Skip past the minigame?
