EV00_DETAILED_TEXT_00;A young boy awakens with a start. It’s almost time for work! He throws off his covers and hurries out of the house toward the small café he part-times at.
EV00_DETAILED_TEXT_01_00;[~]The boy is shocked to find that he is the first one to arrive at work that morning. A customer is already seated, lounging absentmindedly at a table near the back. After serving her a cup of coffee, the boy kicks back and relaxes...[~][~]...only to have his peaceful morning shattered when his sister Reynn bursts through the door. She drags him outside, pointing out (quite forcefully!) that something is wrong. Why isn’t there a single person walking the streets?![~][~]The customer, one Enna Kros, steps out of the café and introduces a little fox named Tama. Together, they begin to explain to Reynn and Lann just what is going on.
EV00_DETAILED_TEXT_01_01;Reynn and Lann possess a special power. They are Mirage Keepers, people endowed with the ability to control creatures known as Mirages. Their powers were once so great that they could have reigned supreme over the world. However, their Mirages, along with any memories connected to those Mirages, have been stripped away.[~][~]But there is light at the end of this tunnel. If Reynn and Lann can recover their Mirages, they may just regain their memories—and perhaps even meet their family.[~][~]Guided by Enna Kros, and with Tama in tow, the two set out on an adventure to a new world: Grymoire, the land of Mirages!
EV01_DETAILED_TEXT_00;Reynn and Lann arrive in Grymoire to discover they look very, very different. They have been transformed, and can now take the same form as the residents of this strange new world. They immediately set out to collect Mirages and recover their lost memories.
EV01_DETAILED_TEXT_01;[~]Things were all going well and fine as the twins explored the bright green landscape of an otherworldly forest. That is, of course, until they set foot into a strange crack in reality known as a murkrift.[~][~]The twins, confronted by a powerful enemy they could not hope to defeat, are soon at death’s door...only to be rescued by the noble Tama, who sacrifices one of her many lives to rewind time and return them to Nine Wood Hills.[~][~]There, they run once again into Enna Kros, who informs them of a visitor to their empty world. Perhaps they should go meet her?
EV01_DETAILED_TEXT_02;In the shopping district, the twins meet a cheerful young woman by the name of Chocolatte. Somewhat overwhelmed by her aggressive salesmanship, the two agree to stop by her establishment whenever they need to do some shopping.
EV01_DETAILED_TEXT_03;[~]As Reynn and Lann prepare to return to Grymoire and resume their quest to collect Mirages, Tama bumps into an old friend, the wind pixie Serafie.[~][~]Serafie has been tasked by Enna Kros with helping the twins manage their prismarium collection. After a brief chat, Reynn and Lann continue on to the Gate.
EV01_DETAILED_TEXT_04;[~]Enna Kros is waiting for Reynn and Lann back in Sylver Park. She tells them it is time for her to bid Nine Wood Hills farewell. The twins protest her sudden departure, but faced with their barrage of questions, Enna Kros merely smiles. As she disappears in a flash of light, she tells them who she is: god.[~][~]Reynn and Lann are certainly shaken by this strange turn of events, but for now, they have little choice but to resume their quest. They return to Grymoire, and begin looking for a way out of the woods.
EV02_DETAILED_TEXT_00;On the other side of the forest is a vast plain dotted with lakes that sparkle in the sun. Reynn and Lann take a minute to drink in the beauty of the world that awaits them before once again setting forth into the unknown.
EV02_DETAILED_TEXT_01_00;[~]Further along, the twins hear the sound of a whistle slice through the air as an oddly shaped train pulls up to the nearby station.[~][~]Reynn and Lann hop aboard, where they are greeted by the gregarious Mirage who operates the train, the Cactuar Conductor. Once the matter of tickets is settled, the train sets off.[~][~]Ahead of them looms a wondrous sight: the city of Cornelia, a town that appears to have been built upwards by piling building upon building in a stack that reaches into the sky.
