MAIN_QUEST_TITLE_CHAPTER_00;[s16]PROLOGUE: [/s]Awake at Last
MAIN_QUEST_TITLE_CHAPTER_01;[s16]CHAPTER 1: [/s]Land of the Lilikin
MAIN_QUEST_TITLE_CHAPTER_02;[s16]CHAPTER 2: [/s]Foretold by Prophecy
MAIN_QUEST_TITLE_CHAPTER_03;[s16]CHAPTER 3: [/s]Old Acquaintances
MAIN_QUEST_TITLE_CHAPTER_04;[s16]CHAPTER 4: [/s]A Legendary Warrior
MAIN_QUEST_TITLE_CHAPTER_05;[s16]CHAPTER 5: [/s]The Champion Who Saved Grymoire
MAIN_QUEST_TITLE_CHAPTER_06;[s16]CHAPTER 6: [/s]Solace from the Ice
MAIN_QUEST_TITLE_CHAPTER_07;[s16]CHAPTER 7: [/s]The Thane and the Knave
MAIN_QUEST_TITLE_CHAPTER_08;[s16]CHAPTER 8: [/s]Buccaneer Blues
MAIN_QUEST_TITLE_CHAPTER_09;[s16]CHAPTER 9: [/s]The Low Seas
MAIN_QUEST_TITLE_CHAPTER_10;[s16]CHAPTER 10: [/s]Too Warm a Welcome
MAIN_QUEST_TITLE_CHAPTER_11;[s16]CHAPTER 11: [/s]Crimson and Azure
MAIN_QUEST_TITLE_CHAPTER_12;[s16]CHAPTER 12: [/s]Ribbit Jiggle Panic
MAIN_QUEST_TITLE_CHAPTER_13;[s16]CHAPTER 13: [/s]Castle in the Desert
MAIN_QUEST_TITLE_CHAPTER_14;[s16]CHAPTER 14: [/s]Lost Powers
MAIN_QUEST_TITLE_CHAPTER_15;[s16]CHAPTER 15: [/s]The Mako Reactor & the Black Mages
MAIN_QUEST_TITLE_CHAPTER_16;[s16]CHAPTER 16: [/s]Clash on Big Bridge
MAIN_QUEST_TITLE_CHAPTER_17;[s16]CHAPTER 17: [/s]Naught but Nightmares
MAIN_QUEST_TITLE_CHAPTER_18;[s16]CHAPTER 18: [/s]The Fell Spell and the Quacho Queen
MAIN_QUEST_TITLE_CHAPTER_19;[s16]CHAPTER 19: [/s]The Other Nine Wood Hills
MAIN_QUEST_TITLE_CHAPTER_20;[s16]CHAPTER 20: [/s]The Crimson Prophecy’s End
MAIN_QUEST_TITLE_CHAPTER_21;[s16]CHAPTER 21: [/s]Chaos in Grymoire
MAIN_QUEST_TITLE_CHAPTER_22;[s16]POSTSCRIPT: [/s]Turn Those Corners Up
