SUB_DETAILED_TEXT_00_1;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_00_2;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_00_3;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_01_1;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_01_2;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_01_3;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_02_1;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_02_2;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_02_3;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_03_1;Help the Warrior of Light
SUB_DETAILED_TEXT_03_2;The Warrior of Light patrols the streets of Cornelia, keeping good citizens safe. In other words, just another day on the job. But it looks like today’s going to be interesting, for he spots a suspicious figure on the castle walls...
SUB_DETAILED_TEXT_03_3;The Warrior of Light patrols the streets of Cornelia, keeping good citizens safe. In other words, just another day on the job. But it looks like today’s going to be interesting, for he spots a suspicious figure on the castle walls...[~][~]The enemy agent has been dealt with, nice and quiet like. The peace and prosperity of Cornelia has been preserved once again, thanks to the tireless efforts of Cornelia’s hero.
SUB_DETAILED_TEXT_04_1;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_04_2;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_04_3;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_05_1;Raise an ice bridge
SUB_DETAILED_TEXT_05_2;Refia returns to Sherlotta’s Solace for some well-needed R & R after Saronia. She gets to thinking about how dangerous the passage across the ice is, and decides to look for a way to create a safe route through. After talking with Sherlotta, the two of them head to the Nether Nebula.[~]
SUB_DETAILED_TEXT_05_3;Refia returns to Sherlotta’s Solace for some well-needed R & R after Saronia. She gets to thinking about how dangerous the passage across the ice is, and decides to look for a way to create a safe route through. After talking with Sherlotta, the two of them head to the Nether Nebula.[~][~]Refia and Sherlotta convince the chilly guardian of the Nether Nebula, Shiva, to erect an icy bridge across the frozen land. A safe route to Saronia has finally been secured, but what is this going to do to Sherlotta’s bottom line...
SUB_DETAILED_TEXT_06_1;Save Underdog Day!
SUB_DETAILED_TEXT_06_2;Underdog Day is a long-standing pirate tradition, for on this day any swabbie can challenge their boss for the title of cap’n. Today, Mog, one of the kupirates, decides to finally unseat Faris from her throne. He casts an ancient, forbidden spell...
SUB_DETAILED_TEXT_06_3;Underdog Day is a long-standing pirate tradition, for on this day any swabbie can challenge their boss for the title of cap’n. Today, Mog, one of the kupirates, decides to finally unseat Faris from her throne. He casts an ancient, forbidden spell...[~][~]Unfortunately for good ol’ Mog, he fumbles his kupos and accidentally summons Ifrit! Ifrit likes the cut of these pirates’ jibs, and decides to challenge Faris himself. Thankfully, Reynn and Lann are there to intervene, and Underdog Day ends in another victory for the salty cap’n.
SUB_DETAILED_TEXT_07_1;Catch Ifrit and Shiva
SUB_DETAILED_TEXT_07_2;NO SCREEN
SUB_DETAILED_TEXT_07_3;Reynn and Lann stop by the Coliseum only to find some unusual opponents. It’s Ifrit and Shiva, sneaking out for a little gladiatorial fun.
SUB_DETAILED_TEXT_08_1;Catch the runaway Mirages
SUB_DETAILED_TEXT_08_2;NO SCREEN
SUB_DETAILED_TEXT_08_3;Ifrit, Shiva, Reynn, and Lann are having a mini-reunion when Ramuh stops by to rain thunder on their parade. While Ifrit and Shiva were playing hooky, two Mirages escaped from the Nether Nebula's barrier: a female ifrit and a male shiva. The twins offer to find the fugitives before they can cause any mischief.
SUB_DETAILED_TEXT_09_1;Hunt down some treasure
SUB_DETAILED_TEXT_09_2;After waving good-bye to Reynn and Lann, Rikku hitches a ride with her new friend Addy across the Low Seas in search of treasure. They arrive at Treasure Island, where Rikku makes landfall...
SUB_DETAILED_TEXT_09_3;After waving good-bye to Reynn and Lann, Rikku hitches a ride with her new friend Addy across the Low Seas in search of treasure. They arrive at Treasure Island, where Rikku makes landfall...[~][~]Rikku finds Treasure Island practically bursting with trejjies! She eagerly pops one open—but shock!—it’s a mimic in disguise! With Addy’s help and the twins’ timely intervention, Rikku deals with the mimic.[~][~]With the mimic defeated, Addy bids farewell to Rikku and returns to the open sea. Rikku’s enthusiasm is catching, however, and now Addy too dreams of adventure. Perhaps one day the twins can help him out?
SUB_DETAILED_TEXT_10_1;Win over the Captain
SUB_DETAILED_TEXT_10_2;Vivi has cut his ties with the Federation, and remains in Figaro to swear allegiance to Edgar. Together with the Black Mages, they have fought hard to protect Figaro, but there are still some who view them with distrust... 
SUB_DETAILED_TEXT_10_3;Vivi has cut his ties with the Federation, and remains in Figaro to swear allegiance to Edgar. Together with the Black Mages, they have fought hard to protect the desert kingdom, but there are still some who view them with distrust...[~][~]Figaro’s captain looked at Vivi with suspicion at first, but Vivi’s pure heart eventually won the gruff guardsman over. Now he’s finally admitted that Vivi has become an essential part of Figaro.
SUB_DETAILED_TEXT_53_1;Hunt the dangerous Mirage
SUB_DETAILED_TEXT_53_2;Snow’s on the prowl, searching for the dangerous Mirage that’s been terrorizing the area. He runs into Celes, and being the gentleman that he is, simply [f2]insists[/f] on accompanying the lady to safety.
SUB_DETAILED_TEXT_53_3;Snow’s on the prowl, searching for the dangerous Mirage that’s been terrorizing the area. He runs into Celes, and being the gentleman that he is, simply [f2]insists[/f] on accompanying the lady to safety.[~][~]The two share the road for a brief spell, when who else shows up but the dangerous Mir— Wait a second, that’s no Mirage, that’s Gilgamesh! Snow and Gilgamesh embark on a vicious cycle of misunderstandings, and soon are at each other’s throats.[~][~]Celes has to step in and calm the two chronic overreactors down using the amazing power of communication. The fight over, Celes shakes her head in consternation and leaves the two new buddies chatting on the road.
SUB_DETAILED_TEXT_11_1;Hunt down some treasure
SUB_DETAILED_TEXT_11_2;Bartz and Boko arrive at the Nether Nebula in search of adventure, but the first thing they stumble across is the treasure hunter Rikku. The two hit it off immediately and decide to team up for a spot of exploration.
