SUB_QUEST_TITLE_000_00;A Day in the Life of Serafie
SUB_QUEST_TITLE_001_00;Where the Lost Are Found
SUB_QUEST_TITLE_002_00;The Girl Who Forgot Her Name
SUB_QUEST_TITLE_002_00_2;Intervention Battles
SUB_QUEST_TITLE_003_00;Invoking the Champions
SUB_QUEST_TITLE_004_00;The Ice Bridge
SUB_QUEST_TITLE_005_00;Underdog Day
SUB_QUEST_TITLE_006_00;The Nebula Nitwits, Part I
SUB_QUEST_TITLE_006_00_2;The Nebula Nitwits, Part II
SUB_QUEST_TITLE_007_00;Treasure Island, Ahoy!
SUB_QUEST_TITLE_008_00;A Friendship Forged in Figaro
SUB_QUEST_TITLE_035_00;Two Different Conversations
SUB_QUEST_TITLE_036_00;Ifrit Meets His Match
SUB_QUEST_TITLE_009_00;A Duo of Three
SUB_QUEST_TITLE_010_00;The Black Chocobo
SUB_QUEST_TITLE_011_00;Never Cross the Boss
SUB_QUEST_TITLE_012_00;The Five Cogna Lords: Figaro
SUB_QUEST_TITLE_013_00;The Five Cogna Lords: Cornelia, Part I
SUB_QUEST_TITLE_013_00_2;The Five Cogna Lords: Cornelia, Part II
SUB_QUEST_TITLE_014_00;The Five Cogna Lords: Nibelheim
SUB_QUEST_TITLE_015_00;The Five Cogna Lords: Tometown, Part I
SUB_QUEST_TITLE_015_00_2;The Five Cogna Lords: Tometown, Part II
SUB_QUEST_TITLE_016_00;The Five Cogna Lords: Port Besaid
SUB_QUEST_TITLE_017_00;The Sunken Temple’s Secret
SUB_QUEST_TITLE_017_00_2;The Sunken Temple’s Secret
SUB_QUEST_TITLE_018_00;The Eye of the Desert
SUB_QUEST_TITLE_019_00;No One’s Tools
SUB_QUEST_TITLE_020_00;I Hate Lightning!
SUB_QUEST_TITLE_021_00;Chocolatte’s Master
SUB_QUEST_TITLE_022_00;Where Art Thou, Smoochy–Poo?
SUB_QUEST_TITLE_023_00;A Grudge That Won’t Budge
SUB_QUEST_TITLE_024_00;Chosen by the Tribe
SUB_QUEST_TITLE_037_00;Freak of Nature
SUB_QUEST_TITLE_038_00;Steel That Forges Destinies
SUB_QUEST_TITLE_039_00;The Sad Spiral
SUB_QUEST_TITLE_025_00;Vestiges of Life
SUB_QUEST_TITLE_026_00;The Demon Dyad Revealed
SUB_QUEST_TITLE_027_00;A Smidge of Micro–Envy
SUB_QUEST_TITLE_028_00;A Bridge’s Woes
SUB_QUEST_TITLE_029_00;Anything For the Ladies
SUB_QUEST_TITLE_030_00;When the Past Still Haunts
SUB_QUEST_TITLE_031_00;Ancestral Acrimony
SUB_QUEST_TITLE_032_00;A Clash of Swords
SUB_QUEST_TITLE_033_00;Cold, Hard Justice
SUB_QUEST_TITLE_034_00;Fire Drill
SUB_QUEST_TITLE_040_00;The Unwritten Future
SUB_QUEST_TITLE_041_00;Finger–Whistle Crisis
SUB_QUEST_TITLE_042_00;I Have Awaited This Day...
SUB_QUEST_TITLE_043_00;For Friends or Vengeance
SUB_QUEST_TITLE_044_00;Investigating the Garden
SUB_QUEST_TITLE_050_00;Operation Opera
OTUKAI_QUEST_TITLE_00_00;Best Helm in the Realm
OTUKAI_QUEST_TITLE_01_00;Who Watches the Watchplains?
OTUKAI_QUEST_TITLE_02_00;The Young Mirage Hunter – I
OTUKAI_QUEST_TITLE_03_00;The Young Mirage Hunter – II
OTUKAI_QUEST_TITLE_04_00;The Young Mirage Hunter – III
OTUKAI_QUEST_TITLE_05_00;The Young Mirage Hunter – IV
OTUKAI_QUEST_TITLE_06_00;The Young Mirage Hunter – V
OTUKAI_QUEST_TITLE_07_00;The Young Mirage Hunter – VI
OTUKAI_QUEST_TITLE_08_00;The Young Mirage Hunter – VII
OTUKAI_QUEST_TITLE_09_00;The Young Mirage Hunter – VIII
OTUKAI_QUEST_TITLE_10_00;The Young Mirage Hunter – IX
OTUKAI_QUEST_TITLE_11_00;The Young Mirage Hunter – X
OTUKAI_QUEST_TITLE_12_00;The Young Mirage Hunter – XI
OTUKAI_QUEST_TITLE_13_00;The Young Mirage Hunter – XII
OTUKAI_QUEST_TITLE_14_00;The Young Mirage Hunter – XIII
OTUKAI_QUEST_TITLE_15_00;The Young Mirage Hunter – XIV
OTUKAI_QUEST_TITLE_16_00;The Young Mirage Hunter – XV
OTUKAI_QUEST_TITLE_17_00;The Young Mirage Hunter – XVI
OTUKAI_QUEST_TITLE_18_00;A Plight for Sore Eyes
OTUKAI_QUEST_TITLE_19_00;Needle for Speedle
OTUKAI_QUEST_TITLE_20_00;Her Jiggly Highness
OTUKAI_QUEST_TITLE_21_00;Scaling the Walls of Love
OTUKAI_QUEST_TITLE_22_00;Taking Care of Bizzy-izzyness – I
OTUKAI_QUEST_TITLE_23_00;Taking Care of Bizzy-izzyness – II
