RESONANCECIRCLE_NEBRA_01_01;Weight: 5 or greater
RESONANCECIRCLE_NEBRA_01_02;Earth Resistance: 50 or greater
RESONANCECIRCLE_NEBRA_02_01;Weight: 5 or greater
RESONANCECIRCLE_NEBRA_02_02;Earth Resistance: 75 or greater
RESONANCECIRCLE_ICICLEVALLEY_01_01;Weight: 11 or greater
RESONANCECIRCLE_ICICLEVALLEY_01_02;Earth Resistance: 100 or greater
RESONANCECIRCLE_SALONIA_01_01;Weight: 5 or greater
RESONANCECIRCLE_SALONIA_01_02;Water Resistance: 50 or greater
RESONANCECIRCLE_BOMBVOLCANO_01_01;Weight: 4 or greater
RESONANCECIRCLE_BOMBVOLCANO_01_02;Fire Resistance: 50 or greater
RESONANCECIRCLE_BOMBVOLCANO_02_01;Weight: 5 or greater
RESONANCECIRCLE_BOMBVOLCANO_02_02;Fire Resistance: 50 or greater
RESONANCECIRCLE_BOMBVOLCANO_03_01;Weight: 12 or greater
RESONANCECIRCLE_BOMBVOLCANO_03_02;Fire Resistance: 150 or greater
RESONANCECIRCLE_WINDWETLANDSBANDS_01_01;Weight: 14 or greater
RESONANCECIRCLE_WINDWETLANDSBANDS_01_02;Water Resistance: 25 or greater
RESONANCECIRCLE_TRAINBONEYARD_01_01;Weight: 11 or greater
RESONANCECIRCLE_TRAINBONEYARD_01_02;Thunder Resistance: 100 or greater
RESONANCECIRCLE_CEYSTALTOWER_01_01;Weight: 9 or greater
RESONANCECIRCLE_CEYSTALTOWER_01_02;Wind Resistance: 75 or greater
RESONANCECIRCLE_CEYSTALTOWER_02_01;Weight: 10 or greater
RESONANCECIRCLE_CEYSTALTOWER_02_02;Earth Resistance: 75 or greater
RESONANCECIRCLE_EXNINECASTLE_01_01;Weight: 11 or greater
RESONANCECIRCLE_EXNINECASTLE_01_02;Ice Resistance: 125 or greater
RESONANCECIRCLE_EXA_01_01;Weight: 10 or greater
RESONANCECIRCLE_EXA_01_02;Water Resistance: 100 or greater
