SPECIES_NAME_UNKNOWN;[f2]Unknown[/f]
SPECIES_NAME_HUMAN;[f2]Human[/f]
SPECIES_NAME_LEGEND;[f2]Legend[/f]
SPECIES_NAME_MONSTER00;[f2]Yurugu[/f]
SPECIES_NAME_MONSTER01;[f2]Ifrit[/f]
SPECIES_NAME_MONSTER02;[f2]Shiva[/f]
SPECIES_NAME_MONSTER03;[f2]Ramuh[/f]
SPECIES_NAME_MONSTER04;[f2]Goblin[/f]
SPECIES_NAME_MONSTER05;[f2]Chocobo[/f]
SPECIES_NAME_MONSTER06;[f2]Fenrir[/f]
SPECIES_NAME_MONSTER07;[f2]Behemoth[/f]
SPECIES_NAME_MONSTER08;[f2]Quacho[/f]
SPECIES_NAME_MONSTER09;[f2]Moogle[/f]
SPECIES_NAME_MONSTER10;[f2]Bismarck[/f]
SPECIES_NAME_MONSTER11;[f2]Tonberry[/f]
SPECIES_NAME_MONSTER12;[f2]Lich[/f]
SPECIES_NAME_MONSTER13;[f2]Iron Giant[/f]
SPECIES_NAME_MONSTER14;[f2]Carbuncle[/f]
SPECIES_NAME_MONSTER15;[f2]Syldra[/f]
SPECIES_NAME_MONSTER16;[f2]Mantoise[/f]
SPECIES_NAME_MONSTER17;[f2]Minotaur[/f]
SPECIES_NAME_MONSTER18;[f2]Toad[/f]
SPECIES_NAME_MONSTER19;[f2]Vampire[/f]
SPECIES_NAME_MONSTER20;[f2]Mimic[/f]
SPECIES_NAME_MONSTER21;[f2]Sand Worm[/f]
SPECIES_NAME_MONSTER22;[f2]Marilith[/f]
SPECIES_NAME_MONSTER23;[f2]Iron Claw[/f]
SPECIES_NAME_MONSTER24;[f2]Coeurl[/f]
SPECIES_NAME_MONSTER25;[f2]Bomb[/f]
SPECIES_NAME_MONSTER26;[f2]Flan[/f]
SPECIES_NAME_MONSTER27;[f2]Malboro[/f]
SPECIES_NAME_MONSTER28;[f2]Sphinx[/f]
SPECIES_NAME_MONSTER29;[f2]Odin[/f]
SPECIES_NAME_MONSTER30;[f2]Cockatrice[/f]
SPECIES_NAME_MONSTER31;[f2]Phoenix[/f]
SPECIES_NAME_MONSTER32;[f2]Bahamut[/f]
SPECIES_NAME_MONSTER33;[f2]Ahriman[/f]
SPECIES_NAME_MONSTER34;[f2]Tiamat[/f]
SPECIES_NAME_MONSTER35;[f2]Omega[/f]
SPECIES_NAME_MONSTER36;[f2]Siren[/f]
SPECIES_NAME_MONSTER37;[f2]Diabolos[/f]
SPECIES_NAME_MONSTER38;[f2]Ultros[/f]
SPECIES_NAME_MONSTER39;[f2]Holy Dragon[/f]
SPECIES_NAME_MONSTER40;[f2]Golem[/f]
SPECIES_NAME_MONSTER41;[f2]Gilgamesh[/f]
SPECIES_NAME_MONSTER42;[f2]Magitek Armor[/f]
SPECIES_NAME_MONSTER43;[f2]XG[/f]
SPECIES_NAME_MONSTER44;[f2]Phantom Train[/f]
SPECIES_NAME_MONSTER45;[f2]Cactuar[/f]
SPECIES_NAME_MONSTER46;[f2]Titan[/f]
SPECIES_NAME_MONSTER47;[f2]Weapon[/f]
SPECIES_NAME_MONSTER48;[f2]Black Mage[/f]
SPECIES_NAME_MONSTER49;[f2]Bahamutian Soldier[/f]
SPECIES_NAME_MONSTER19_obsolete;ZOMBIE (DELETED)
SPECIES_NAME_MONSTER38_obsolete;CHIMERA (DELETED)
SPECIES_NAME_MONSTER46_obsolete;RUBICANTE (DELETED)
SPECIES_NAME_MONSTER49_obsolete;MAGUS SISTERS (DELETED)
