sub12_020_0000;Where could it be?
sub12_020_0001;I’m taking the shot!
sub12_020_0002;I’m on the move.
sub12_020_0003;Nnh!
sub12_020_0004;Aaah!
sub12_020_0005;I’m so sorry...
sub12_020_0006;Almost!
sub12_020_0007;Got it!
sub12_020_0008;Whew... We did it.
sub12_020_0009;No... It can’t be...
sub12_020_0010;Time to put an end to this.
sub12_020_0011;Where to look?
sub12_020_0012;There!
sub12_020_0013;Repositioning.
sub12_020_0014;Unh!
sub12_020_0015;Guh!
sub12_020_0016;I must...withdraw...
sub12_020_0017;Just grazed it.
sub12_020_0018;That was a hit.
sub12_020_0019;It seems we’ve managed to claim victory.
sub12_020_0020;That’s the end of that...
sub12_020_0021;Let’s see now...
sub12_020_0022;Fire!
sub12_020_0023;Blizzard!
sub12_020_0024;Thunder!
sub12_020_0025;Mosey mosey.
sub12_020_0026;Uh!
sub12_020_0027;Aaah!
sub12_020_0028;Aww... They got me.
sub12_020_0029;So close!
sub12_020_0030;I got it!
sub12_020_0031;Hey look, we did it!
sub12_020_0032;Wait, you mean...we lost?
sub12_020_0033;NOT USED
sub12_020_0034;NOT USED
sub12_020_0035;NOT USED
sub12_020_0036;NOT USED
sub12_020_0037;NOT USED
sub12_020_0038;NOT USED
sub12_020_0039;NOT USED
sub12_020_0040;NOT USED
sub12_020_0041;NOT USED
sub12_020_0042;NOT USED
sub12_020_0043;Now then...
sub12_020_0044;Here goes nothing.
sub12_020_0045;On the move.
sub12_020_0046;......!
sub12_020_0047;Gah!
sub12_020_0048;Sorry!
sub12_020_0049;Close!
sub12_020_0050;There!
sub12_020_0051;Victory! Not that I had any doubts.
sub12_020_0052;What?! Well, let them enjoy their brief moment of glory.
