sub12_035_0000;Found you.
sub12_035_0001;Huh?!
sub12_035_0002;Aaah!
sub12_035_0003;......?!
sub12_035_0004;Please...[~]Help me...!
sub12_035_0005;Maduin!
sub12_035_0006;Huh? I know you.
sub12_035_0007;Now, you’re free.[~]I’ve missed the song in your voice when you call my name.
sub12_035_0008;You were my first summon... Maduin!
sub12_035_0009;......
sub12_035_0010;Tell me... How could I forget you?[~]I don’t...
sub12_035_0011;That machine had a hold on your mind.
sub12_035_0012;But...all that is in the past.[~]You remember now, and I’ll always be here.
sub12_035_0013;Thank you...
sub12_035_0014;Father...
sub12_035_0015;Heeey! Are you okay?!
