sub20_010_0000;......
sub20_010_0001_dummy;NOT USED
sub20_010_0002_dummy;NOT USED
sub20_010_0003_dummy;NOT USED
sub20_010_0004_dummy;NOT USED
sub20_010_0005_dummy;NOT USED
sub20_010_0006_dummy;NOT USED
sub20_010_0007_dummy;NOT USED
sub20_010_0008_dummy;NOT USED
sub20_010_0001;Nnnrrrggghhh!
sub20_010_0002;Nooo... No no no, no no no, no no no NO!!!
sub20_010_0003;Why is every single chest I find a stupid mimic?![~]Why’re you trejjies playing hard to get?[~]HELP ME OUT HEEERE!
sub20_010_0004;Ugh...
sub20_010_0005;(STANDING and BRUSHING SAND OFF)
sub20_010_0006;Well... As long as there’s one more chest to crack...
sub20_010_0007;I’m not gonna give up now!
sub20_010_0008;Aaagh! I knew it!
