sub21_020_0000;Kweh... Kweeeeeeh...[~]KWEEEEEEH!
sub21_020_0001;Kweeeh! Kweh, kweh, kweh, kweh.
sub21_020_0002;Boko! You okay, buddy? I missed you too.
sub21_020_0003;Ugh... I can’t believe they wanted to rule the world with Cogna-fied chocobos!
sub21_020_0004;What a nightmare![~]That no-good Mecha Chocobo!
sub21_020_0005;Yeah. I guess that explains Hyperion.[~]I betcha that [f2]he[/f] must’ve been Cognified by those scoundrels too.
sub21_020_0006;I can’t even imagine...
sub21_020_0007;Aaah! Oh no, yes I can!
sub21_020_0008;Oh! That reminds me. That chick perched on your head![~]It was doing the talking, right? You wanna explain how that works?
sub21_020_0009;Ah! Oh, uh, let’s just say...[~]Oh, hey, you know what! I’ve really got to get back to the shop!
sub21_020_0010;Do you realize what this means?![~]I may have just found the one chocobo that can speak our language...
sub21_020_0011;Huh? ...Hey! Wait for me, Chocolatte!
sub21_020_0012;Kweeeh!
sub21_020_0013;Heh heh, heh heh![~]Choco-boco-ching![~]Heh heh.
