sub33_030_0000;This is it! Together!
sub33_030_0001;Hoooaaah!
sub33_030_0002;Blizzaga!
sub33_030_0003;Chill, you villain!
sub33_030_0004;All right!
sub33_030_0005;Success![~]Although, our victory will be short lived if it thaws.
sub33_030_0006;Oh, that’s a good point.[~]So what do we do, just cross our fingers?
sub33_030_0007;You never did finish what you started.
sub33_030_0008;Zantetsuken!
sub33_030_0009;You know, for my first crack at it, that was pretty good.
sub33_030_0010;Zounds! Now that’s what I call “just desserts”!
sub33_030_0011;Hey, Sis!
sub33_030_0012;I thought we’ve been over this already.[~]I am [f2]not[/f] your sister.
sub33_030_0013;Am I glad to see you, Sis!
sub33_030_0014;What did I just finish saying?!
sub33_030_0015;Oh! Tell you what, Sis.[~]Why don’t you stop by the village and see Serah? It’s been forever, right?
sub33_030_0016;Would you just...[~]I seriously must be talking to a wall.
