sub34_016_0000;*Yaaawwwn*[~]Hello? Is somebody there?
sub34_016_0001;I...I have come here to do battle with you.
sub34_016_0002;Rydia, wait! Something’s not right.[~]There’s something wrong with her soul...
sub34_016_0003;Tell me. Who are you supposed to be?
sub34_016_0004;You mean that you don’t know?[~]Every moron has heard of Ifreeta, duh.
sub34_016_0005;Ifreeta?
sub34_016_0006;Yup. You might say that I’m the girl who puts all the [f2]heat[/f] back in ifrit.[~]Tell me you didn’t come all the way down here by accident?
sub34_016_0007;So you’re an ifrit? Well, good. You’re just what I’m looking for![~]Fight me—help me beat my fear of fire! One fight, that’s all I ask!
sub34_016_0008;Oh, sister, please.[~]You’re afraid of [f2]fire?[/f] Oh, no waaay!
sub34_016_0009;Well, you’re not gonna last too long against a scorcher like me.[~]But, why not? You have such a lovely soul, after all.
sub34_016_0010;Lucky for you, I would be delighted to take it off your hands!
sub34_016_0011;Lady Yuna, get ready!
