sub34_017_0000;Hold up. What happened to the wimps I was gonna destroy?
sub34_017_0001;So it’s you. You’re the ifrit that escaped from the Nebula.
sub34_017_0002;Waaait, what’s the deal here?[~]Have you two been hunting me down?
sub34_017_0003;*Sniff*, *sniff* *sniff* *sniff*...
sub34_017_0004;Mmm... Your souls... I can’t put my finger on it but...[~]Ooh, they’re making my mouth water! Aha ha!
sub34_017_0005;You’re kidding. Are you saying you feed on people’s souls?
sub34_017_0006;There’s nothing better than a soul on the coals,[~]releasing all its flavor as it flickers out! Aha ha ha ha!
sub34_017_0007;Urp! That is the grossest thing I’ve ever heard.[~]Hey Reynn, tell me we’re gonna teach her a good lesson!
sub34_017_0008;Yeah. We have to do something about her, that’s for sure.
sub34_017_0009;Gimme a break. You don’t think you can actually take me?[~]Oh, that is [f2]way[/f] too good!
sub34_017_0010;Well, whatever. It’s time to chow down!
