TIPS_ATB_TITLE;Active Time Battle (ATB)
TIPS_COMAND_TITLE;Assigning Button Shortcuts to Abilities
TIPS_BATTLEMODE_TITLE;Battle Modes
TIPS_COMANDMANU_TITLE;The Classic Battle Menu
TIPS_AP_TITLE;Action Points (AP)
TIPS_ENEMYINFO_TITLE;Mirage Data and the Libra Ability
TIPS_TIPS_TITLE;Tapping Into the Tip Jar
TIPS_PRIMERO_TITLE;Lilikin and Jiants
TIPS_CHANGE_TITLE;Changing Leaders
TIPS_HOKAKU_TITLE;Imprisming Mirages
TIPS_GARDENJEM_TITLE;All About Prismariums
TIPS_HOKAKUCHANCE_TITLE;Creating a Prismtunity
TIPS_NOSENOSE_TITLE;Should I Stack?
TIPS_BARABARA_TITLE;Should I Unstack?
TIPS_PARTY1_TITLE;Setting Up Your Stacks
TIPS_PARTY2_TITLE;Get Wise About Mirage Sizes
TIPS_BORD_TITLE;Using Mirage Boards to Power Up
TIPS_HENSHINKA_TITLE;Transfiguration
TIPS_HENSHINKA_TITLE_02;Unique Abilities
TIPS_DARKCREVASS_TITLE;Murkrifts: Scary, but True
TIPS_GAMEOVER_TITLE;When the Party Has Fallen
TIPS_SHOP_TITLE;The Chocolatte Mart
TIPS_NOTGET_TITLE;Unimprismable Mirages
TIPS_DOSSHIRI_TITLE;Those Puzzling Puzzle Switches
TIPS_TERRITORY_TITLE;Beware the Thresholds
TIPS_GEMCASE_TITLE;Storing Mirages in the Prism Case
TIPS_SABER_TITLE;Mediums and Champions
TIPS_CALLINGBADGE_TITLE;Champion Medals
TIPS_SABERENAGY_TITLE;The Champion Gauge
TIPS_MIRASTONE_TITLE;Mirajewels Add to Your Arsenal
TIPS_BOOK_TITLE;Ability Seeds
TIPS_MEGAMIRAGE_TITLE;Mega Mirages
TIPS_MASTER_TITLE;Shoot for the Stars!
TIPS_TOKOTOKO_TITLE;Support Abilities: Stroll
TIPS_NORINORI_TITLE;Support Abilities: Joyride
TIPS_FIRE_TITLE;Support Abilities: Sizzle
TIPS_FREEZE_TITLE;Support Abilities: Chill
TIPS_ELECTRIC_TITLE;Support Abilities: Zap
TIPS_BREAK_TITLE;Support Abilities: Smash
TIPS_FRYING_TITLE;Support Abilities: Flutter
TIPS_TEREPOSTONE_TITLE;The Teleport Stone
TIPS_SHERAPHONE_TITLE;Seraphones
TIPS_GATE_TITLE;The Gates
TIPS_SAVE_TITLE;Save Crystals
TIPS_QUEST_TITLE;The Adventure Log
TIPS_AVIRITY_TITLE;Customize Your Shortcuts
TIPS_MAP_TITLE;Using the Map
TIPS_WORLDMAP_TITLE;The Airship
TIPS_AUTO_TITLE;Speeding Up Battles
TIPS_FASTFORWARD_TITLE;Speeding Up Conversation
TIPS_ALMAGEM_TITLE;Arma Gems
TIPS_ALTOBOX_TITLE;Eldboxes
TIPS_ARENA_TITLE;The Coliseum
TIPS_ARENA_TITLE_02;Coliseum Rules
TIPS_MINIGAME_TITLE;Minigames
TIPS_NETWORK_TITLE;Multiplayer
TIPS_NETWORK_TITLE_02;Multiplayer Rules
TIPS_NETWORK_TITLE_03;Multiplayer Rules (Cont.)
TIPS_NETWORK_TITLE_04;Multiplayer Game Modes
TIPS_NETWORK_TITLE_05;Multiplayer Game Modes (Cont.)
TIPS_NETWORK_TITLE_06;Battlefronts
TIPS_NETWORK_TITLE_07;Autosaving and Multiplayer
TIPS_NETWORK_TITLE_08;Trading Mirages
TIPS_RENAMECARD_TITLE;The Rename Prism
TIPS_WINGLOAD_TITLE;Using Windways
TIPS_SPSKILL_TITLE;Combined Abilities
TIPS_HIDEOUT_TITLE;Secret Areas
TIPS_RESERVE_TITLE_04;NOT USED
TIPS_RESERVE_TITLE_05;NOT USED
TIPS_RESERVE_TITLE_06;NOT USED
TIPS_RESERVE_TITLE_07;NOT USED
TIPS_RESERVE_TITLE_08;Equipping Mirajewels
TIPS_RESERVE_TITLE_09;NOT USED
TIPS_RESERVE_TITLE_10;Sharqual Attack!
TIPS_RESERVE_TITLE_11;Searchers
TIPS_RESERVE_TITLE_12;Jump Pads
TIPS_RESERVE_TITLE_13;EXP (Experience)
TIPS_RESERVE_TITLE_14;Now That You've Beaten the Game
TIPS_RESERVE_TITLE_15;Hauyn
TIPS_RESERVE_TITLE_16;Intervention Quests
TIPS_RESERVE_TITLE_17;Targeting with the Basic Menu
TIPS_RESERVE_TITLE_18;Summoning with the Basic Menu
TIPS_RESERVE_TITLE_19;Finish Those Intervention Quests!
TIPS_RESERVE_TITLE_20;Element and Status Ailment Symbols
TIPS_RESERVE_TITLE_21;Now Available: Secret Memory (Omega God)
TIPS_RESERVE_TITLE_22;Now Available: Coliseum Ticket (Miney)
TIPS_RESERVE_TITLE_23;Now Available: Coliseum Ticket (Mo)
